,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.6259,-0.1909,-0.3133,-0.5278,-0.5278,-14.292,0.6348,0.4194,0.4598,0.0,0.0,0.25,-30.7667,0.0,0.3865,-0.184,0.5502,25964027.0,0.6259,0.0,25964027.0,0.0,13249310.0,21035450.0,4928577.0,0.0,4886621.0,2160788.0,0.0,0.0,2725833.0,0.0,2725833.0,0.17,0.17,16974783.0,0.1,1.0,0.24,0.1882,0.105,-0.2761,6235996.0,4886621.0,2725833.0,82461532.0,0.3279,0.0,82461532.0,0.0,43992476.0,57392259.0,25069273.0,0.0,25010701.0,8199063.0,0.0,0.0,16811638.0,0.0,16811638.0,1.31,1.3,16974783.0,0.34,1.0,0.355,0.3033,0.204,0.1366,29241850.0,25010701.0,16811638.0,20.875,166.263,-0.422,20.7905,3.9151,0.996,0.1203,0.0,-2.4803,0.588,0.0379,0.5103,0.0,2822283391.0,3108739581.0,0.0,0.0,0.0,0.0603,0.0108,-0.0157,-0.3022,0.069,0.007,0.303,0.035,0.7409,0.0,0.0,0.0,0.0,0.0,0.0,0.26,28.0,0.5335,0.0,2463649767.0,243951133.0,2327734944.0,0.664,4.858,0.0,-0.0955,0.0121,-0.0144,-0.2812,OLBK,34.91,34.60342905714286,592589674.53
2018-03-31,0.2252,0.3388,0.5263,0.3333,0.3333,-0.366,0.252,0.1808,-0.1293,0.0,0.0,0.0,-0.3151,0.0,0.1326,0.3448,0.1487,19082900.0,0.2252,0.0,19082900.0,0.0,10402931.0,10979443.0,8103457.0,0.0,8090941.0,2025759.0,0.0,0.0,6065182.0,0.0,6065182.0,0.48,0.48,12566696.0,0.08,1.0,0.478,0.424,0.318,0.3749,9128479.0,8090941.0,6065182.0,72466853.0,0.1808,0.0,72466853.0,0.0,40299394.0,46286260.0,26180593.0,0.0,26163977.0,8108763.0,0.0,0.0,18055214.0,0.0,18055214.0,1.5,1.49,12566696.0,0.32,1.0,0.412,0.361,0.249,0.2513,29859588.0,26163977.0,18055214.0,16.742,173.446,0.569,15.8873,7.0429,0.9489,0.0903,0.0,1.2668,0.167,0.0141,0.5451,0.0,2179642285.0,2290787230.0,0.0,0.0,0.0,-0.0689,0.0151,-0.0277,-0.5099,0.092,0.009,0.361,0.035,1.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.213,23.0,0.5561,0.0,2185634984.0,195626880.0,2042970263.0,1.449,5.767,0.0,-0.0769,0.012,-0.0209,-0.4104,OLBK,33.0,32.526176529411764,414700968.0
2017-12-31,0.2303,0.219,0.3526,0.2308,0.175,-0.015,0.2321,0.2008,0.0427,0.0,0.0,0.3333,0.2937,0.0,0.1773,0.2186,0.1481,18926459.0,0.2303,0.0,18926459.0,0.0,10296010.0,10741013.0,8185446.0,0.0,8185446.0,2328011.0,0.0,0.0,5857435.0,0.0,5857435.0,0.48,0.47,12467518.0,0.08,1.0,0.479,0.4325,0.309,0.3269,9062818.0,8185446.0,5857435.0,68959585.0,0.1568,0.0,68959585.0,0.0,39081196.0,44856636.0,24102949.0,0.0,24116538.0,8152724.0,0.0,0.0,15963814.0,0.0,15963814.0,1.38,1.35,12467518.0,0.32,1.0,0.4,0.3497,0.231,0.3118,27561478.0,24116538.0,15963814.0,16.661,166.371,0.496,18.5056,2.8213,1.1107,0.1096,0.0,1.0061,0.167,0.0149,0.544,0.0,2074231807.0,2269776597.0,0.0,0.0,0.0,0.05,0.0129,0.0156,0.3357,0.088,0.008,0.35,0.036,1.5135,0.0,0.0,0.0,0.0,0.0,0.0,0.232,22.0,0.5667,0.0,2101296210.0,181807817.0,1931739134.0,1.724,5.531,0.0,-0.1101,0.0101,-0.0386,-0.7725,OLBK,29.440001000000002,29.746969999999994,367043742.38751805
2017-09-30,0.2187,-0.284,-0.3894,-0.4545,-0.4375,0.5432,0.2492,0.1657,0.0594,0.0,0.0,0.3333,0.4889,0.0,0.0721,-0.2795,0.1487,18488146.0,0.2187,0.0,18488146.0,0.0,10044225.0,14636353.0,3851793.0,0.0,3847693.0,1684505.0,0.0,0.0,2163188.0,0.0,2163188.0,0.18,0.18,12451220.0,0.08,1.0,0.26,0.2081,0.117,0.2754,4814557.0,3847693.0,2163188.0,65416438.0,0.133,0.0,65416438.0,0.0,37530983.0,42781907.0,22634531.0,0.0,22645843.0,8209024.0,0.0,0.0,14436819.0,0.0,14436819.0,1.29,1.3,12451220.0,0.3,1.0,0.398,0.3462,0.221,0.3072,26023408.0,22645843.0,14436819.0,16.331,162.999,0.409,15.2772,2.7679,0.9355,0.0923,0.0,2.6071,0.444,0.0154,0.5433,0.0,2029540133.0,2185295659.0,0.0,0.0,0.0,-0.0971,0.0102,-0.0296,-0.5665,0.086,0.008,0.346,0.036,1.6798,0.0,0.0,0.0,0.0,0.0,0.0,0.233,25.0,0.5737,0.0,2007233596.0,167542717.0,1832590678.0,1.614,5.254,0.0,-0.1714,0.0087,-0.0635,-1.2305,OLBK,28.0,27.402856999999994,348634160.0
2017-06-30,0.0479,0.2892,0.2678,0.2414,0.2857,-0.4994,0.1285,0.0667,0.4803,0.0,0.0,0.3333,-0.1356,0.0,0.0064,0.3021,0.0137,15969348.0,0.0479,0.0,15969348.0,0.0,9556228.0,9929451.0,6039897.0,0.0,6039897.0,2070488.0,0.0,0.0,3969409.0,0.0,3969409.0,0.36,0.36,10950330.0,0.08,1.0,0.429,0.3782,0.249,-0.0141,6853734.0,6039897.0,3969409.0,62099195.0,0.111,0.0,62099195.0,0.0,36855688.0,37970818.0,24128377.0,0.0,24171703.0,8355440.0,0.0,0.0,15816263.0,0.0,15816263.0,1.44,1.44,10950330.0,0.28,1.0,0.442,0.3892,0.255,0.2967,27437371.0,24171703.0,15816263.0,14.707,162.679,-0.021,22.0775,2.4168,1.5011,0.1347,0.0,0.1281,0.222,0.0072,0.5984,0.0,1781389417.0,1996680451.0,0.0,0.0,0.0,-1.4437,0.0092,-0.046,-0.9023,0.102,0.009,0.389,0.036,1.4078,0.0,0.0,0.0,0.0,0.0,0.0,0.194,21.0,0.5935,0.0,1907407579.0,154672029.0,1729807202.0,1.682,5.671,0.0,-0.1726,0.0091,-0.0619,-1.1768,OLBK,28.18,28.08611102777777,308580299.4
2017-03-31,0.1273,0.8919,0.8474,0.8,0.8,0.2491,0.1594,0.0488,0.7896,0.0,0.0,0.3333,0.132,0.0,-0.0581,0.8898,0.0128,15575632.0,0.1273,0.0,15575632.0,0.0,9184734.0,9549819.0,6025813.0,0.0,6043502.0,2069720.0,0.0,0.0,3973782.0,0.0,3973782.0,0.36,0.36,10940330.0,0.08,1.0,0.439,0.388,0.255,0.6707,6830369.0,6043502.0,3973782.0,61369279.0,0.1526,0.0,61369279.0,0.0,36794740.0,38642204.0,22727075.0,0.0,22816772.0,7838952.0,1728.0,0.0,14977820.0,0.0,14977820.0,1.37,1.36,10940330.0,0.26,1.0,0.426,0.3718,0.244,0.3006,26135423.0,22816772.0,14979548.0,14.178,160.203,0.955,20.9595,2.6096,1.4783,0.1299,0.0,3.0499,0.222,0.0074,0.5897,0.0,1752678224.0,1953432133.0,0.0,0.0,0.0,-0.1381,0.0074,-0.1075,-2.1273,0.099,0.009,0.372,0.037,1.5205,0.0,0.0,0.0,0.0,0.0,0.0,0.19,22.0,0.5996,0.0,1834734544.0,151647331.0,1678735696.0,1.686,5.609,0.0,-0.1898,0.0092,-0.0704,-1.3028,OLBK,28.48,28.28388863888889,311580598.4
2016-12-31,0.1386,1.0422,1.1635,1.1667,1.1053,47.1433,0.1317,0.0169,0.8888,0.0,0.0,0.0,6.24,0.0,0.0473,1.0297,0.0308,15383312.0,0.1386,0.0,15383312.0,0.0,8745796.0,8666284.0,6717028.0,0.0,6714751.0,2384311.0,0.0,0.0,4330440.0,0.0,4330440.0,0.39,0.4,10859074.0,0.06,1.0,0.489,0.4365,0.282,0.3109,7524748.0,6714751.0,4330440.0,59610923.0,0.1437,0.0,59610923.0,0.0,37361149.0,39721109.0,19889814.0,0.0,19967695.0,6812598.0,62.0,0.0,13155097.0,0.0,13155097.0,1.21,1.2,10859074.0,0.24,1.0,0.392,0.335,0.221,0.2891,23380616.0,19967695.0,13155159.0,13.875,156.156,0.44,20.3771,2.1607,1.4686,0.1295,0.0,1.3817,0.154,0.0078,0.5685,0.0,1695712852.0,1893526140.0,0.0,0.0,0.0,-0.2006,0.0077,-0.078,-1.4817,0.088,0.008,0.335,0.037,1.5474,0.0,0.0,0.0,0.0,0.0,0.0,0.198,21.0,0.6268,0.0,1746789779.0,149375068.0,1618042988.0,1.587,5.49,0.0,-0.1535,0.0094,-0.0524,-0.9155,OLBK,23.98,23.182941411764713,260400594.52
2016-09-30,0.1383,0.1391,0.1384,0.1,0.1034,-0.527,0.2394,0.0734,0.9602,0.0,0.0,0.2,-0.51,0.0,0.1416,0.1606,0.025,15170903.0,0.1383,0.0,15170903.0,0.0,9368930.0,9825264.0,5345639.0,0.0,5373553.0,1830921.0,0.0,0.0,3542632.0,0.0,3542632.0,0.33,0.32,10839021.0,0.06,1.0,0.411,0.3542,0.234,0.2254,6228520.0,5373553.0,3542632.0,57738455.0,0.151,0.0,57738455.0,0.0,36965814.0,41256212.0,16482243.0,0.0,16541002.0,5714783.0,959.0,0.0,10826219.0,0.0,10826219.0,1.0,0.99,10839021.0,0.24,1.0,0.346,0.2865,0.188,0.1998,19950661.0,16541002.0,10827178.0,14.01,150.991,0.316,16.5654,2.7823,1.1824,0.1088,0.0,1.0316,0.182,0.0082,0.6176,0.0,1636596927.0,1785991590.0,0.0,0.0,0.0,-0.0642,0.012,-0.0155,-0.2743,0.073,0.007,0.286,0.037,1.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.24,21.0,0.6402,0.0,1665758539.0,147641048.0,1568310302.0,1.064,5.327,0.0,-0.2043,0.0097,-0.0513,-0.8686,OLBK,19.73,19.506111055555557,213853884.33
2016-06-30,0.2104,0.2341,0.2038,0.16,0.1667,-0.8595,0.2119,0.0787,0.9758,0.0,0.0,0.2,-1.0294,0.0,0.1414,0.2187,0.0175,15239432.0,0.2104,0.0,15239432.0,0.0,9495280.0,10600837.0,4638595.0,0.0,4684966.0,1554000.0,1728.0,0.0,3130966.0,0.0,3130966.0,0.29,0.28,10802560.0,0.06,1.0,0.364,0.3074,0.205,-0.013,5551786.0,4684966.0,3132694.0,55895700.0,0.1719,0.0,55895700.0,0.0,35803842.0,40153365.0,15742335.0,0.0,15884995.0,5489448.0,3853.0,0.0,10395547.0,0.0,10395547.0,0.97,0.96,10802560.0,0.23,1.0,0.344,0.2842,0.186,0.2701,19217684.0,15884995.0,10399400.0,13.788,145.921,-0.018,15.1178,3.1144,1.0964,0.1027,0.0,0.3246,0.207,0.0086,0.6231,0.0,1576320567.0,1705988314.0,0.0,0.0,0.0,-1.1956,0.0097,-0.0797,-1.4015,0.072,0.007,0.284,0.038,1.7862,0.0,0.0,0.0,0.0,0.0,0.0,0.237,18.0,0.6405,0.0,1564446552.0,144180636.0,1488628605.0,1.397,5.174,0.0,-0.187,0.0089,-0.0621,-1.0422,OLBK,18.0,17.773333305555553,194446080.0
2016-03-31,0.0852,-0.2111,-0.219,-0.2,-0.2,9.9798,0.1944,0.0642,0.6599,0.0,0.0,0.2,8.6495,0.0,0.2121,-0.2363,-0.0008,13817288.0,0.0852,0.0,13817288.0,0.0,9751144.0,10628727.0,3188561.0,0.0,3194436.0,1043366.0,-1667.0,0.0,2151070.0,0.0,2151070.0,0.2,0.2,10802560.0,0.06,1.0,0.295,0.2312,0.156,0.6678,4075573.0,3194436.0,2149403.0,53246187.0,0.1575,0.0,53246187.0,0.0,34627578.0,38336309.0,14909878.0,0.0,14996222.0,5130721.0,2901.0,0.0,9865501.0,0.0,9865501.0,0.93,0.92,10802560.0,0.22,1.0,0.342,0.2816,0.185,0.4141,18219655.0,14996222.0,9868402.0,13.518,139.699,0.854,11.8613,3.2941,0.8775,0.0841,0.0,4.5107,0.3,0.0091,0.7057,0.0,1509104925.0,1601653072.0,0.0,0.0,0.0,-0.049,0.0083,-0.0344,-0.5392,0.07,0.007,0.282,0.038,2.5124,0.0,0.0,0.0,0.0,0.0,0.0,0.237,18.0,0.6503,0.0,1473203078.0,140869929.0,1419128583.0,2.041,4.929,0.0,-0.1103,0.0083,-0.0514,-0.8484,OLBK,18.030001000000002,17.892285599999997,194770167.60256
2015-12-31,0.1737,0.3367,0.124,0.125,0.1875,-0.9619,0.2302,0.0886,0.7488,0.0,0.0,0.2,-1.3418,0.0,-0.0305,0.4347,-0.0238,13510832.0,0.1737,0.0,13510832.0,0.0,8350460.0,10201384.0,3309448.0,0.0,3288047.0,1286496.0,898.0,0.0,2001551.0,0.0,2001551.0,0.18,0.19,10534420.0,0.06,1.0,0.303,0.2434,0.148,-0.0676,4094782.0,3288047.0,2002449.0,52122507.0,0.1626,0.0,52122507.0,0.0,32882837.0,36225966.0,15896541.0,0.0,15850976.0,5382390.0,-4152.0,0.0,10468586.0,0.0,10468586.0,0.98,0.97,10534420.0,0.21,1.0,0.364,0.3041,0.201,0.2229,18975414.0,15850976.0,10464434.0,13.644,142.006,-0.087,11.1207,4.1484,0.8151,0.0776,0.0,0.0621,0.333,0.0094,0.6181,0.0,1495951306.0,1569401178.0,0.0,0.0,0.0,-8.3447,0.0087,-0.0768,-1.2855,0.075,0.008,0.304,0.038,1.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.214,16.0,0.6309,0.0,1398170831.0,138696267.0,1357149745.0,1.103,4.948,0.0,-0.1704,0.008,-0.0458,-0.7635,OLBK,17.57,17.8862858,185089759.4
2015-09-30,0.227,0.9815,0.7838,0.875,0.8125,0.9334,0.1021,0.0565,1.2031,0.0,0.0,0.0,0.9039,0.0,0.0027,1.1767,-0.0196,13328148.0,0.227,0.0,13328148.0,0.0,8206958.0,8722417.0,4605731.0,0.0,4717546.0,1605586.0,2894.0,0.0,3111960.0,0.0,3111960.0,0.3,0.29,10574439.0,0.05,1.0,0.412,0.354,0.233,0.5237,5495543.0,4717546.0,3114854.0,50161564.0,0.017,0.0,50161564.0,0.0,33183636.0,35267825.0,14893739.0,0.0,15022743.0,4775048.0,-3071.0,0.0,10247695.0,0.0,10247695.0,0.96,0.94,10574439.0,0.2,1.0,0.362,0.2995,0.204,0.303,18159504.0,15022743.0,10244624.0,13.052,124.807,0.66,8.6623,2.8954,0.6637,0.0688,0.0,2.4826,0.167,0.0087,0.6158,0.0,1319761735.0,1380743645.0,0.0,0.0,0.0,-0.0966,0.0089,-0.056,-0.9592,0.075,0.008,0.299,0.039,1.6723,0.0,0.0,0.0,0.0,0.0,0.0,0.208,14.0,0.6615,0.0,1320043031.0,136579666.0,1286507273.0,1.437,4.744,0.0,-0.113,0.0073,-0.0386,-0.6174,OLBK,16.26,15.813333305555554,171940378.14000002
2015-06-30,0.1557,0.5449,0.47,0.5625,0.5,3.6708,0.0995,0.0451,0.9768,0.0,0.0,0.25,4.5285,0.0,0.036,0.6098,-0.0156,12589919.0,0.1557,0.0,12589919.0,0.0,8319016.0,8783781.0,3806138.0,0.0,3796193.0,1195273.0,776.0,0.0,2600920.0,0.0,2600920.0,0.25,0.24,10616838.0,0.05,1.0,0.362,0.3015,0.207,0.5367,4553757.0,3796193.0,2601696.0,47695968.0,-0.0604,0.0,47695968.0,0.0,33161740.0,35292007.0,12403961.0,0.0,12685982.0,3805701.0,-10264.0,0.0,8880281.0,0.0,8880281.0,0.82,0.81,10616838.0,0.2,1.0,0.332,0.266,0.186,0.2492,15825808.0,12685982.0,8870017.0,12.782,122.468,0.636,7.7852,3.9428,0.6091,0.063,0.0,2.7809,0.2,0.009,0.6608,0.0,1300220244.0,1341014416.0,0.0,0.0,0.0,-0.0659,0.0072,-0.0378,-0.6287,0.066,0.007,0.266,0.038,1.5098,0.0,0.0,0.0,0.0,0.0,0.0,0.244,16.0,0.6953,0.0,1273435156.0,135387207.0,1255660985.0,1.12,4.492,0.0,-0.1134,0.0067,-0.0319,-0.4842,OLBK,15.89,15.976944527777777,168701555.82
2015-03-31,0.1089,0.6027,0.5003,0.4706,0.4706,-1.77,0.0689,0.0598,0.7439,0.0,0.0,0.25,-1.8831,0.0,-0.0688,0.8137,0.0024,12732082.0,0.1089,0.0,12732082.0,0.0,8044879.0,8556860.0,4175222.0,0.0,4049188.0,1295035.0,-8720.0,0.0,2754153.0,0.0,2754153.0,0.25,0.25,10810930.0,0.05,1.0,0.379,0.318,0.216,-0.0947,4831330.0,4049188.0,2745433.0,46000164.0,-0.0805,0.0,46000164.0,0.0,32872750.0,35038039.0,10962125.0,0.0,11347098.0,3298401.0,-24920.0,0.0,8048697.0,0.0,8048697.0,0.73,0.73,10810930.0,0.19,1.0,0.314,0.2467,0.175,0.1381,14440273.0,11347098.0,8023777.0,12.703,116.835,-0.112,7.1404,3.5859,0.5621,0.0605,0.0,-0.3923,0.2,0.0094,0.6319,0.0,1263096570.0,1301524085.0,0.0,0.0,0.0,0.1164,0.0072,-0.0099,-0.1608,0.06,0.007,0.247,0.038,0.9595,0.0,0.0,0.0,0.0,0.0,0.0,0.26,19.0,0.7146,0.0,1236235838.0,134438271.0,1225969952.0,0.588,4.255,0.0,-0.1775,0.0066,-0.0298,-0.4431,OLBK,15.8,15.038888888888884,170812694.0
