,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.103,1.2013,1.5947,1.4857,1.4571,0.0261,-0.0231,-0.0497,-0.3817,0.1869,0.0,0.0625,0.0184,0.0,0.096,1.2013,0.1085,140957000.0,0.103,0.0,140957000.0,0.0,77450000.0,86112000.0,54845000.0,0.0,54845000.0,10239000.0,0.0,0.0,44606000.0,0.0,44606000.0,0.87,0.86,50974640.0,0.34,1.0,0.449,0.3891,0.316,0.3332,63358000.0,54845000.0,44606000.0,548949000.0,0.2188,0.0,548949000.0,0.0,302505000.0,343138000.0,205811000.0,0.0,205811000.0,13830000.0,0.0,0.0,191981000.0,0.0,191981000.0,3.79,3.75,50974640.0,1.36,1.0,0.44,0.3749,0.35,0.3616,241282000.0,205811000.0,191981000.0,32.506,192.585,0.921,6.015,4.9074,0.185,0.0288,0.0,1.1369,0.391,0.0768,0.5495,0.0,9816967000.0,9873424000.0,32172000.0,0.0,0.0,-0.0738,0.0119,-0.0265,-0.4396,0.118,0.018,0.375,0.051,1.0897,0.0,23.2192,0.0,17.0629,0.0,0.0,0.359,14.0,0.5511,0.0,10071877000.0,1629246250.0,10799016250.0,3.894,10.769,0.0,-0.0513,0.0106,-0.0195,-0.3024,CBU,59.07,60.60285717142857,3011071984.8
2018-03-31,0.2612,0.4398,0.5274,0.3448,0.3684,0.4277,0.2303,0.1038,2.9594,0.1788,0.0,0.0625,0.4628,0.0,0.1833,0.4398,0.1404,138436000.0,0.2612,0.0,138436000.0,0.0,77851000.0,86331000.0,52105000.0,0.0,52105000.0,11999000.0,0.0,0.0,40106000.0,0.0,40106000.0,0.78,0.78,50796090.0,0.34,1.0,0.44,0.3764,0.29,0.4287,60904000.0,52105000.0,40106000.0,535786000.0,0.2536,0.0,535786000.0,0.0,295721000.0,359905000.0,175881000.0,0.0,175881000.0,11315000.0,0.0,0.0,164566000.0,0.0,164566000.0,3.27,3.24,50796090.0,1.34,1.0,0.394,0.3283,0.307,0.3689,211208000.0,175881000.0,164566000.0,32.118,199.739,1.168,7.9645,10.7075,0.248,0.0369,0.0,1.5187,0.436,0.0748,0.5624,0.0,10145971000.0,10006636000.0,31010500.0,0.0,0.0,-0.0255,0.0124,-0.0112,-0.1768,0.102,0.015,0.328,0.049,1.2635,0.0,22.8591,0.0,17.2776,0.0,0.0,0.41,17.0,0.5519,0.0,10185721750.0,1608231500.0,10861754250.0,3.891,10.548,0.0,-0.0495,0.0102,-0.0192,-0.2912,CBU,53.560001,54.758235382352936,2720638631.19609
2017-12-31,0.2665,0.2015,1.7291,1.4576,1.4655,0.5909,0.24,0.197,0.9563,0.1635,0.0,0.0625,0.7451,0.0,0.2922,0.2015,0.1403,134534000.0,0.2665,0.0,134534000.0,0.0,74840000.0,86919000.0,47615000.0,0.0,47615000.0,-24411000.0,0.0,0.0,72026000.0,0.0,72026000.0,1.45,1.43,50609149.0,0.34,1.0,0.421,0.3539,0.535,0.3546,56574000.0,47615000.0,72026000.0,507114000.0,0.2033,0.0,507114000.0,0.0,282209000.0,347149000.0,159965000.0,0.0,159965000.0,9248000.0,0.0,0.0,150717000.0,0.0,150717000.0,3.07,3.03,50609149.0,1.32,1.0,0.38,0.3154,0.297,0.3527,192930000.0,159965000.0,150717000.0,32.313,196.034,0.943,9.601,4.3676,0.2971,0.0452,0.0,0.7056,0.234,0.0768,0.5563,0.0,9921110000.0,10185968000.0,33635000.0,0.0,0.0,-0.0614,0.0086,-0.0232,-0.348,0.099,0.015,0.315,0.049,1.2585,0.0,26.0387,0.0,15.077,0.0,0.0,0.43,18.0,0.5565,0.0,9710531250.0,1524372500.0,10348580500.0,3.534,10.02,0.0,-0.057,0.0101,-0.0213,-0.3282,CBU,53.75,54.081515363636356,2720241758.75
2017-09-30,0.2663,0.2685,0.2976,0.1311,0.1148,0.3867,0.2432,0.1246,0.8516,0.1623,0.0,0.0625,0.4129,0.0,0.2048,0.2685,0.1419,135022000.0,0.2663,0.0,135022000.0,0.0,72364000.0,83776000.0,51246000.0,0.0,51246000.0,16003000.0,0.0,0.0,35243000.0,0.0,35243000.0,0.69,0.68,50545023.0,0.34,1.0,0.448,0.3795,0.261,0.3293,60446000.0,51246000.0,35243000.0,478806000.0,0.1677,0.0,478806000.0,0.0,266738000.0,326827000.0,151979000.0,0.0,151979000.0,46896000.0,0.0,0.0,105083000.0,0.0,105083000.0,2.21,2.18,50545023.0,1.3,1.0,0.378,0.3174,0.219,0.331,180916000.0,151979000.0,105083000.0,31.521,198.355,0.88,8.6477,4.7775,0.2743,0.0403,0.0,1.3271,0.493,0.076,0.5359,0.0,10025863000.0,10221480000.0,31029500.0,0.0,0.0,-0.0494,0.0093,-0.0171,-0.2512,0.074,0.011,0.317,0.049,1.6254,0.0,25.43,0.0,15.4307,0.0,0.0,0.588,20.0,0.5571,0.0,9229065750.0,1415068750.0,9828640250.0,3.136,9.473,0.0,-0.0721,0.0112,-0.0257,-0.4254,CBU,55.25,52.16428588571428,2792612520.75
2017-06-30,0.2197,-0.3515,-0.3352,-0.3966,-0.3966,0.1549,0.245,0.2199,0.341,0.1229,0.0,0.0323,0.157,0.0,0.1789,-0.3515,0.0424,127794000.0,0.2197,0.0,127794000.0,0.0,70666000.0,102879000.0,24915000.0,0.0,24915000.0,7724000.0,0.0,0.0,17191000.0,0.0,17191000.0,0.35,0.35,45983193.0,0.32,1.0,0.26,0.195,0.135,0.3609,33284000.0,24915000.0,17191000.0,450409000.0,0.1396,0.0,450409000.0,0.0,254436000.0,309277000.0,141132000.0,0.0,141132000.0,44132000.0,0.0,0.0,97000000.0,0.0,97000000.0,2.13,2.11,45983193.0,1.28,1.0,0.368,0.3133,0.215,0.323,165820000.0,141132000.0,97000000.0,34.206,218.616,1.003,10.7834,4.7777,0.3152,0.0456,0.0,2.8749,0.914,0.0764,0.553,0.0,10052643000.0,10328803000.0,27812500.0,0.0,0.0,-0.0668,0.0103,-0.0258,-0.3946,0.073,0.01,0.313,0.048,1.6264,0.0,23.8437,0.0,16.1945,0.0,0.0,0.601,17.0,0.5649,0.0,8753733000.0,1326903000.0,9298022250.0,3.164,9.795,0.0,-0.0777,0.0118,-0.0272,-0.4967,CBU,55.77,55.52444455555556,2564482673.61
2017-03-31,0.0572,0.001,0.076,0.0545,0.0364,0.5624,0.0346,0.0633,-0.2479,-0.0457,0.0,0.0323,0.645,0.0,0.0695,0.001,0.0152,109764000.0,0.0572,0.0,109764000.0,0.0,65793000.0,73575000.0,36189000.0,0.0,36189000.0,9932000.0,0.0,0.0,26257000.0,0.0,26257000.0,0.58,0.57,44541700.0,0.32,1.0,0.388,0.3297,0.239,0.3696,42626000.0,36189000.0,26257000.0,427388000.0,0.1223,0.0,427388000.0,0.0,243713000.0,272754000.0,154634000.0,0.0,154634000.0,48968000.0,0.0,0.0,105666000.0,0.0,105666000.0,2.36,2.34,44541700.0,1.27,1.0,0.412,0.3618,0.247,0.3258,175950000.0,154634000.0,105666000.0,29.097,186.227,0.911,2.294,6.5374,0.0788,0.0115,0.0,1.6247,0.552,0.0694,0.5994,0.0,8294883000.0,8105874000.0,29148000.0,0.0,0.0,-0.0489,0.0128,-0.019,-0.3244,0.085,0.012,0.362,0.049,1.4302,0.0,24.3107,0.0,14.6627,0.0,0.0,0.538,16.0,0.5702,0.0,8288221500.0,1242910250.0,8762538500.0,3.126,9.595,0.0,-0.0787,0.0116,-0.0278,-0.5578,CBU,54.98,57.64083300000001,2448902666.0
2016-12-31,0.1204,0.3285,0.3149,0.2553,0.234,-0.1575,0.0133,-0.0273,-0.3844,0.2003,0.0,0.0323,-0.2123,0.0,0.0874,0.3285,0.0798,106226000.0,0.1204,0.0,106226000.0,0.0,57915000.0,66597000.0,39629000.0,0.0,39629000.0,13237000.0,0.0,0.0,26392000.0,0.0,26392000.0,0.59,0.58,44380735.0,0.32,1.0,0.419,0.3731,0.248,0.2573,44560000.0,39629000.0,26392000.0,421445000.0,0.1538,0.0,421445000.0,0.0,239439000.0,266848000.0,154597000.0,0.0,154597000.0,50785000.0,0.0,0.0,103812000.0,0.0,103812000.0,2.34,2.32,44380735.0,1.26,1.0,0.414,0.3668,0.246,0.2926,174474000.0,154597000.0,103812000.0,26.996,184.44,0.616,5.5963,3.9174,0.2073,0.0287,0.0,1.2103,0.542,0.0555,0.5452,0.0,8185593000.0,8260106000.0,28498500.0,0.0,0.0,-0.1443,0.0131,-0.0434,-0.9349,0.085,0.012,0.367,0.049,1.3079,0.0,26.9287,0.0,14.7883,0.0,0.0,0.538,18.0,0.5681,0.0,8293842750.0,1219069000.0,8688048750.0,2.779,9.496,0.0,-0.0916,0.0113,-0.0295,-0.6259,CBU,61.790001000000004,58.56205876470588,2742285660.030735
2016-09-30,0.1609,0.1296,0.0854,0.0,0.0167,0.2189,0.0914,0.0989,-0.6425,-0.006,0.0,0.0323,0.295,0.0,0.1879,0.1296,0.0803,106625000.0,0.1609,0.0,106625000.0,0.0,60062000.0,66226000.0,40399000.0,0.0,40399000.0,13239000.0,0.0,0.0,27160000.0,0.0,27160000.0,0.61,0.61,44262061.0,0.32,1.0,0.425,0.3789,0.255,0.2951,45350000.0,40399000.0,27160000.0,410029000.0,0.1402,0.0,410029000.0,0.0,234786000.0,265231000.0,144798000.0,0.0,144798000.0,47307000.0,0.0,0.0,97491000.0,0.0,97491000.0,2.21,2.21,44262061.0,1.25,1.0,0.4,0.3531,0.238,0.3187,164077000.0,144798000.0,97491000.0,28.028,186.291,0.711,5.3333,3.6497,0.1903,0.027,0.0,1.2419,0.525,0.0552,0.5633,0.0,8245627000.0,8320149000.0,28786500.0,0.0,0.0,-0.0671,0.011,-0.0212,-0.4571,0.081,0.011,0.353,0.047,1.4539,0.0,25.5482,0.0,14.2438,0.0,0.0,0.566,16.0,0.5726,0.0,8308506000.0,1204705750.0,8659606750.0,2.953,9.264,0.0,-0.0779,0.0108,-0.0269,-0.5731,CBU,48.110001000000004,46.7405555,2129447798.9720612
2016-06-30,0.1596,0.1198,0.0846,0.0,0.0,0.3387,0.1054,0.1429,-0.4467,0.0551,0.0,0.0333,0.3524,0.0,0.1813,0.1198,0.082,104773000.0,0.1596,0.0,104773000.0,0.0,59943000.0,66356000.0,38417000.0,0.0,38417000.0,12560000.0,0.0,0.0,25857000.0,0.0,25857000.0,0.58,0.58,44111656.0,0.31,1.0,0.414,0.3667,0.247,0.3805,43414000.0,38417000.0,25857000.0,395247000.0,0.1025,0.0,395247000.0,0.0,225287000.0,255084000.0,140163000.0,0.0,140163000.0,44810000.0,0.0,0.0,95353000.0,0.0,95353000.0,2.21,2.2,44111656.0,1.24,1.0,0.401,0.3546,0.241,0.3125,158621000.0,140163000.0,95353000.0,28.041,187.221,0.904,8.3823,3.6642,0.2989,0.0423,0.0,1.655,0.534,0.0553,0.5721,0.0,8258633000.0,8466757000.0,25517500.0,0.0,0.0,-0.0685,0.0096,-0.028,-0.5864,0.082,0.011,0.355,0.047,1.423,0.0,24.1968,0.0,15.4893,0.0,0.0,0.561,13.0,0.57,0.0,8257480000.0,1155816750.0,8476961750.0,2.8,8.96,0.0,-0.0896,0.0108,-0.0308,-0.6587,CBU,41.09,40.34527797222221,1812547945.0400002
2016-03-31,0.1763,0.1187,0.0945,0.0,0.0185,0.2403,0.1373,0.1015,-0.5439,0.084,0.0,0.0333,0.3195,0.0,0.223,0.1187,0.0756,103821000.0,0.1763,0.0,103821000.0,0.0,61520000.0,67669000.0,36152000.0,0.0,36152000.0,11749000.0,0.0,0.0,24403000.0,0.0,24403000.0,0.55,0.55,43875778.0,0.31,1.0,0.396,0.3482,0.235,0.2376,41150000.0,36152000.0,24403000.0,380830000.0,0.0665,0.0,380830000.0,0.0,216088000.0,244776000.0,136054000.0,0.0,136054000.0,42718000.0,0.0,0.0,93336000.0,0.0,93336000.0,2.21,2.2,43875778.0,1.23,1.0,0.404,0.3573,0.245,0.2971,153681000.0,136054000.0,93336000.0,27.365,185.319,0.562,3.0963,3.1569,0.1131,0.0158,0.0,1.1189,0.564,0.0563,0.5926,0.0,8131020000.0,8128359000.0,28674000.0,0.0,0.0,-0.0967,0.0117,-0.0254,-0.528,0.085,0.011,0.357,0.046,1.3377,0.0,28.5901,0.0,13.2814,0.0,0.0,0.557,14.0,0.5674,0.0,8152926500.0,1096669250.0,8268626750.0,2.579,8.68,0.0,-0.0939,0.0112,-0.0308,-0.6648,CBU,38.209998999999996,37.79800020000001,1676493433.504222
2015-12-31,0.0635,-0.0813,-0.1324,-0.1754,-0.1754,0.222,0.142,0.1405,-0.0833,0.0511,0.0,0.0333,0.3613,0.0,0.0525,-0.0813,0.0124,94810000.0,0.0635,0.0,94810000.0,0.0,53261000.0,64980000.0,29830000.0,0.0,29830000.0,9759000.0,0.0,0.0,20071000.0,0.0,20071000.0,0.47,0.47,41099876.0,0.31,1.0,0.36,0.3146,0.212,0.366,34163000.0,29830000.0,20071000.0,365272000.0,0.0253,0.0,365272000.0,0.0,204872000.0,233055000.0,132217000.0,0.0,132217000.0,40987000.0,0.0,0.0,91230000.0,0.0,91230000.0,2.21,2.19,41099876.0,1.22,1.0,0.408,0.362,0.25,0.2934,149012000.0,132217000.0,91230000.0,27.753,196.315,0.844,9.8162,3.7277,0.3537,0.0472,0.0,1.889,0.66,0.0566,0.5618,0.0,8068523000.0,8318759000.0,25274500.0,0.0,0.0,-0.0848,0.0109,-0.0339,-0.7422,0.087,0.011,0.362,0.046,1.3106,0.0,25.8847,0.0,14.4522,0.0,0.0,0.552,16.0,0.5609,0.0,7955156750.0,1049853500.0,8008661250.0,2.607,8.887,0.0,-0.1037,0.0115,-0.0339,-0.7383,CBU,39.939999,41.32800039999999,1641529006.340124
2015-09-30,0.0124,0.1208,0.1185,0.1091,0.1111,-0.1575,0.0659,0.075,0.4806,0.0475,0.0,0.0333,-0.1573,0.0,0.0065,0.1208,0.0068,91843000.0,0.0124,0.0,91843000.0,0.0,50563000.0,56079000.0,35764000.0,0.0,35764000.0,10742000.0,0.0,0.0,25022000.0,0.0,25022000.0,0.61,0.6,40971575.0,0.31,1.0,0.434,0.3894,0.272,0.2646,39894000.0,35764000.0,25022000.0,359615000.0,0.0395,0.0,359615000.0,0.0,202214000.0,224759000.0,134856000.0,0.0,134856000.0,40564000.0,0.0,0.0,94292000.0,0.0,94292000.0,2.31,2.29,40971575.0,1.21,1.0,0.422,0.375,0.262,0.2724,151593000.0,134856000.0,94292000.0,25.506,185.803,0.593,16.1146,3.8279,0.6318,0.0826,0.0,1.1059,0.508,0.0481,0.5505,0.0,7612641000.0,8116045000.0,28218500.0,0.0,0.0,-0.1219,0.011,-0.0367,-0.8169,0.093,0.012,0.375,0.046,1.195,0.0,29.3054,0.0,12.7439,0.0,0.0,0.524,15.0,0.5623,0.0,7726515250.0,1011667750.0,7742854000.0,2.391,8.777,0.0,-0.1306,0.0114,-0.0409,-0.8795,CBU,37.169998,35.97666658333333,1522913360.80685
