,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.1532,0.0239,0.2886,0.2857,0.2381,1.1994,0.2028,0.0442,-0.0053,0.0305,0.0,0.0,21.1504,0.0,0.0454,0.0239,0.0025,7377000.0,0.1532,0.0,7377000.0,0.0,4608000.0,5961000.0,1416000.0,0.0,1416000.0,380000.0,0.0,0.0,1036000.0,0.0,1036000.0,0.27,0.26,3903878.0,0.01,1.0,0.244,0.1957,0.14,0.1451,1800000.0,1416000.0,1036000.0,28814000.0,0.1157,0.0,28814000.0,0.0,18659000.0,23216000.0,5598000.0,0.0,5598000.0,1884000.0,0.0,0.0,3714000.0,0.0,3714000.0,0.95,0.94,3903878.0,0.04,1.0,0.243,0.1999,0.129,0.2054,7011000.0,5598000.0,3714000.0,17.511,237.61,0.583,36.7118,15.8876,2.1189,0.1646,0.0,1.5728,0.037,0.0,0.6393,0.0,927601000.0,985726000.0,3257000.0,0.0,0.0,-0.3761,0.0074,-0.0875,-1.8,0.055,0.004,0.194,0.033,2.4273,0.0,45.9627,0.0,4.8256,0.0,0.0,0.042,29.0,0.6632,0.0,958987000.0,67256250.0,869865750.0,2.077,7.381,0.0,-0.3236,0.0056,-0.0983,-2.0304,PNBK,20.07,19.95428571428572,78350831.46000001
2018-03-31,-0.0476,-0.5084,-0.3844,-0.3864,-0.3864,2.2651,0.1235,0.047,-0.0269,-0.5636,0.0,0.0,3.3643,0.0,0.11,-0.5084,0.002,7200000.0,-0.0476,0.0,7200000.0,0.0,4603000.0,5791000.0,1409000.0,0.0,1409000.0,344000.0,0.0,0.0,1065000.0,0.0,1065000.0,0.27,0.27,3901910.0,0.01,1.0,0.244,0.1501,0.148,0.3411,1759000.0,1409000.0,1065000.0,27834000.0,0.1989,0.0,27834000.0,0.0,18459000.0,22269000.0,5565000.0,0.0,5565000.0,2083000.0,0.0,0.0,3482000.0,0.0,3482000.0,0.89,0.89,3901910.0,0.03,1.0,0.248,0.2491,0.125,0.15,6912000.0,5565000.0,3482000.0,17.326,223.075,0.268,37.0145,12.6398,2.1603,0.1692,0.0,4.475,0.037,0.0,0.6702,0.0,870417000.0,951671000.0,5768000.0,0.0,0.0,-0.067,0.0056,-0.0245,-0.5248,0.052,0.004,0.2,0.034,1.7579,0.0,45.2593,0.0,9.0627,0.0,0.0,0.034,31.0,0.6385,0.0,939333250.0,66491000.0,830662000.0,1.465,7.133,0.0,-0.4198,0.0052,-0.1085,-2.4113,PNBK,19.4,18.941176499999997,75697054.0
2017-12-31,0.2047,-0.3448,-0.4258,-0.4444,-0.4444,4.5475,0.1261,0.0844,-0.1107,0.2825,0.0,0.0,4.5991,0.0,0.2929,-0.3448,-0.0162,7344000.0,0.2047,0.0,7344000.0,0.0,4922000.0,6242000.0,1102000.0,0.0,1102000.0,502000.0,0.0,0.0,600000.0,0.0,600000.0,0.15,0.15,3895720.0,0.01,1.0,0.197,0.2424,0.082,0.3308,1445000.0,1102000.0,600000.0,28194000.0,0.3118,0.0,28194000.0,0.0,18003000.0,21172000.0,7022000.0,0.0,7022000.0,2875000.0,0.0,0.0,4147000.0,0.0,4147000.0,1.06,1.06,3895720.0,0.02,1.0,0.294,0.2821,0.147,0.0382,8291000.0,7022000.0,4147000.0,17.134,218.722,0.643,39.34,7.2961,2.3103,0.1853,0.0,2.8213,0.067,0.0,0.6566,0.0,852080000.0,947037000.0,3111000.0,0.0,0.0,-0.2022,0.0054,-0.0839,-1.7202,0.063,0.005,0.249,0.035,1.1082,0.0,47.4232,0.0,9.2773,0.0,0.0,0.019,28.0,0.6267,0.0,916840250.0,65700000.0,806748000.0,1.086,7.237,0.0,-0.7978,0.0052,-0.1507,-3.3416,PNBK,17.85,17.933636272727277,69538602.0
2017-09-30,0.194,0.2545,0.2445,0.2381,0.2381,1.0532,0.2103,0.077,0.0455,0.5169,0.0,0.0,9.8571,0.0,0.1614,0.2545,-0.0163,6893000.0,0.194,0.0,6893000.0,0.0,4526000.0,5222000.0,1671000.0,0.0,1671000.0,658000.0,0.0,0.0,1013000.0,0.0,1013000.0,0.26,0.26,3894128.0,0.01,1.0,0.291,0.2162,0.147,-0.0177,2007000.0,1671000.0,1013000.0,26946000.0,0.2942,0.0,26946000.0,0.0,16888000.0,19344000.0,7602000.0,0.0,7602000.0,3010000.0,0.0,0.0,4592000.0,0.0,4592000.0,1.18,1.18,3894128.0,0.01,1.0,0.327,0.2812,0.17,-0.0403,8817000.0,7602000.0,4592000.0,17.028,212.302,0.585,37.1159,2.7844,2.2134,0.1869,0.0,1.5348,0.038,0.0,0.6891,0.0,826731000.0,951514000.0,2904500.0,0.0,0.0,-1.0916,0.0039,-0.2106,-4.2358,0.071,0.006,0.282,0.034,0.8247,0.0,45.3388,0.0,9.6944,0.0,0.0,0.008,26.0,0.6296,0.0,886710250.0,64655250.0,782891500.0,0.264,6.92,0.0,-1.2873,-0.0031,-0.1806,-3.9425,PNBK,16.870001000000002,16.785428571428575,65693943.25412801
2017-06-30,0.6888,2.4589,2.3814,2.4,2.4,-0.2406,0.1865,0.0715,0.0284,0.5132,0.0,0.0,-1.1004,0.0,0.0523,2.4589,-0.0157,6397000.0,0.6888,0.0,6397000.0,0.0,4408000.0,5014000.0,1383000.0,0.0,1383000.0,579000.0,0.0,0.0,804000.0,0.0,804000.0,0.21,0.21,3894128.0,0.0,1.0,0.266,0.3791,0.126,-0.0585,1701000.0,1383000.0,804000.0,25826000.0,0.2384,0.0,25826000.0,0.0,16259000.0,18563000.0,7263000.0,0.0,7263000.0,2870000.0,0.0,0.0,4393000.0,0.0,4393000.0,1.13,1.13,3894128.0,0.0,1.0,0.327,0.2124,0.17,0.0085,8446000.0,7263000.0,4393000.0,16.769,198.612,-0.029,37.8015,15.4761,2.2843,0.19,0.0,0.2965,0.0,0.0,0.5485,0.0,773420000.0,907111000.0,2664000.0,0.0,0.0,-1.8616,0.0057,-0.1263,-3.511,0.069,0.006,0.281,0.035,1.3349,0.0,126.2573,0.0,4.5947,0.0,0.0,0.0,21.0,0.6909,0.0,844856250.0,63723250.0,746980250.0,-0.267,6.632,0.0,-0.9509,0.0022,-0.1644,-3.2293,PNBK,16.450001,16.145833472222225,64058409.494128
2017-03-31,0.2956,1.676,1.6493,1.5882,1.75,-0.499,0.2186,0.0804,0.0149,2.8704,0.0,0.0,-2.2381,0.0,-0.0224,1.676,-0.0427,7560000.0,0.2956,0.0,7560000.0,0.0,4147000.0,4694000.0,2866000.0,0.0,2866000.0,1136000.0,0.0,0.0,1730000.0,0.0,1730000.0,0.44,0.44,3894132.0,0.0,1.0,0.415,0.2759,0.229,-0.1142,3138000.0,2866000.0,1730000.0,23217000.0,0.0109,0.0,23217000.0,0.0,16040000.0,18285000.0,4932000.0,0.0,4932000.0,1925000.0,0.0,0.0,3007000.0,0.0,3007000.0,0.77,0.77,3894132.0,0.0,1.0,0.263,0.146,0.13,0.0463,6114000.0,4932000.0,3007000.0,16.548,198.956,-0.114,40.9485,23.3059,2.5915,0.2143,0.0,0.4632,0.0,0.0,0.6245,0.0,774761000.0,861699000.0,5053000.0,0.0,0.0,-2.438,0.0057,-0.1936,-4.083,0.048,0.004,0.212,0.032,2.3446,0.0,46.2958,0.0,9.076,0.0,0.0,0.0,26.0,0.7507,0.0,804557750.0,62876750.0,716590000.0,0.051,5.962,0.0,-0.7799,0.0075,-0.1642,-2.9189,PNBK,15.05,14.703611111111112,58606686.6
2016-12-31,0.1237,1.0588,0.9643,1.0769,0.9286,-0.2611,0.1581,0.0186,0.123,0.3562,0.0,0.0,-1.3216,0.0,-0.0662,1.0588,-0.0006,6096000.0,0.1237,0.0,6096000.0,0.0,3807000.0,4414000.0,1682000.0,0.0,1682000.0,637000.0,0.0,0.0,1045000.0,0.0,1045000.0,0.27,0.27,3959903.0,0.0,1.0,0.323,0.2307,0.171,0.0364,1971000.0,1682000.0,1045000.0,21492000.0,-0.0385,0.0,21492000.0,0.0,16135000.0,18355000.0,3137000.0,0.0,3137000.0,1207000.0,0.0,0.0,1930000.0,0.0,1930000.0,0.49,0.49,3959903.0,0.0,1.0,0.202,0.1091,0.09,0.1852,4346000.0,3137000.0,1930000.0,15.801,191.079,-0.176,37.0157,11.4978,2.3413,0.2145,0.0,1.7101,0.0,0.0,0.675,0.0,756654000.0,826517000.0,2368000.0,0.0,0.0,-0.8491,-0.0315,-0.2047,-3.8882,0.031,0.003,0.146,0.032,3.314,0.0,40.4601,0.0,9.4319,0.0,0.0,0.0,50.0,0.7879,0.0,767580500.0,62343000.0,681838500.0,0.252,5.427,0.0,-0.1789,0.0119,-0.0403,-0.7101,PNBK,14.05,13.828235294117647,55636637.150000006
2016-09-30,-0.0057,0.265,0.2859,0.3125,0.3125,-0.1267,0.0661,0.0266,0.1251,0.0954,0.0,0.0,1.0635,0.0,-0.0521,0.265,0.0011,5773000.0,-0.0057,0.0,5773000.0,0.0,3897000.0,4441000.0,1332000.0,0.0,1332000.0,518000.0,0.0,0.0,814000.0,0.0,814000.0,0.21,0.21,3958486.0,0.0,1.0,0.283,-0.2503,0.141,0.297,1636000.0,1332000.0,814000.0,20821000.0,-0.0504,0.0,20821000.0,0.0,16405000.0,18549000.0,2272000.0,0.0,2272000.0,855000.0,0.0,0.0,1417000.0,0.0,1417000.0,0.36,0.36,3958486.0,0.0,1.0,0.166,0.0956,0.068,0.0163,3455000.0,2272000.0,1417000.0,15.81,172.562,0.053,35.5252,11.7504,2.27,0.2156,0.0,-2.7921,0.0,0.0,1.1059,0.0,683086000.0,784098000.0,2207500.0,0.0,0.0,-0.3077,0.0407,-0.132,-1.5773,0.023,0.002,0.109,0.032,3.9628,0.0,37.1056,0.0,10.0404,0.0,0.0,0.0,65.0,0.7969,0.0,739038250.0,62066500.0,656013750.0,0.974,5.26,0.0,-0.9306,0.026,-0.2186,-3.9429,PNBK,13.28,13.84111113888889,52568694.08
2016-06-30,-0.358,-1.8309,-1.8447,-1.8333,-1.8333,-0.3073,0.0365,0.03,0.2984,0.0423,0.0,0.0,1.5224,0.0,-0.0026,-1.8309,0.0006,3788000.0,-0.358,0.0,3788000.0,0.0,4189000.0,4736000.0,-948000.0,0.0,-948000.0,-366000.0,0.0,0.0,-582000.0,0.0,-582000.0,-0.15,-0.15,3956207.0,0.0,1.0,-0.167,0.1835,-0.154,0.0612,-631000.0,-948000.0,-582000.0,20854000.0,-0.0066,0.0,20854000.0,0.0,16619000.0,18861000.0,1993000.0,0.0,1993000.0,757000.0,0.0,0.0,1236000.0,0.0,1236000.0,0.31,0.31,3956207.0,0.0,1.0,0.151,0.1777,0.059,-0.0148,3149000.0,1993000.0,1236000.0,15.65,164.769,0.284,35.6573,16.4729,2.3279,0.2281,0.0,1.5681,0.0,0.0,0.727,0.0,651859000.0,745917000.0,2077000.0,0.0,0.0,-0.6514,0.0264,-0.1143,-2.2308,0.02,0.002,0.096,0.032,2.2413,0.0,32.9781,0.0,11.344,0.0,0.0,0.0,65.0,0.7241,0.0,720918750.0,61645000.0,645423500.0,0.086,5.271,0.0,-1.0603,0.0218,-0.2594,-5.456,PNBK,13.15,13.5725,52024122.050000004
2016-03-31,0.1176,1.1857,1.2595,1.4286,1.2857,-0.0501,-0.0175,0.0115,0.1309,0.0512,0.0,0.0,1.6842,0.0,-0.0068,1.1857,0.0387,5835000.0,0.1176,0.0,5835000.0,0.0,4242000.0,4764000.0,1071000.0,0.0,1071000.0,418000.0,0.0,0.0,653000.0,0.0,653000.0,0.17,0.16,4067642.0,0.0,1.0,0.235,0.1506,0.112,0.3989,1370000.0,1071000.0,653000.0,22966000.0,0.157,0.0,22966000.0,0.0,16630000.0,18884000.0,4082000.0,0.0,4082000.0,1575000.0,0.0,0.0,2507000.0,0.0,2507000.0,0.64,0.64,4067642.0,0.0,1.0,0.225,0.1566,0.109,-0.0252,5174000.0,4082000.0,2507000.0,15.317,156.296,0.088,36.4429,21.5538,2.3492,0.221,0.0,1.2312,0.0,0.0,0.7515,0.0,635755000.0,713790000.0,2024500.0,0.0,0.0,2.3038,0.0223,0.2782,5.7376,0.041,0.004,0.178,0.036,2.6472,0.0,32.8226,0.0,11.3809,0.0,0.0,0.0,27.0,0.7453,0.0,705453500.0,61185750.0,639684000.0,-0.083,5.646,0.0,-1.0992,0.0206,-0.279,-6.0019,PNBK,13.01,13.352857142857147,52920022.42
2015-12-31,0.0854,3.4461,1.222,1.2097,1.2295,-0.9697,0.0328,0.0343,0.1259,0.048,0.0,0.0,-0.8776,0.0,-0.0721,3.4461,0.0118,5425000.0,0.0854,0.0,5425000.0,0.0,4077000.0,4608000.0,817000.0,0.0,817000.0,285000.0,0.0,0.0,532000.0,0.0,532000.0,0.13,0.14,3962170.0,0.0,1.0,0.199,0.1814,0.098,-0.5694,1080000.0,817000.0,532000.0,22352000.0,0.1624,0.0,22352000.0,0.0,16659000.0,18851000.0,3501000.0,0.0,3501000.0,1358000.0,0.0,0.0,2143000.0,0.0,2143000.0,0.55,0.55,3962170.0,0.0,1.0,0.203,0.1072,0.096,0.6818,4540000.0,3501000.0,2143000.0,15.513,164.898,0.546,32.9375,15.0073,2.1386,0.2033,0.0,2.5182,0.0,0.0,0.7081,0.0,653355000.0,712348000.0,1964000.0,0.0,0.0,-3.074,0.0195,-0.844,-17.6895,0.035,0.003,0.157,0.035,-33.949,0.0,35.0766,0.0,11.6747,0.0,0.0,0.0,37.0,0.7743,0.0,704355000.0,60434500.0,642521750.0,-0.142,5.641,0.0,-0.4391,0.0188,-0.5337,-11.4045,PNBK,14.55,15.605142857142859,57649573.5
