,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,-0.1675,-0.4208,-0.3072,-0.3069,0.1553,0.0092,0.0639,-0.4861,0.0,0.0,0.1667,-0.2035,0.0,0.0652,-0.4208,0.0,388708000.0,-0.1675,0.0,388708000.0,0.0,210823000.0,265993000.0,122715000.0,0.0,122715000.0,29424000.0,0.0,0.0,93291000.0,0.0,93291000.0,7.77,12010405.0,0.35,1.0,0.392,0.3157,0.24,0.0675,152392000.0,122715000.0,93291000.0,1596568000.0,0.0591,0.0,1596568000.0,0.0,828775000.0,1115640000.0,480928000.0,0.0,480928000.0,165935000.0,0.0,0.0,314993000.0,0.0,314993000.0,26.23,12010405.0,1.35,1.0,0.374,0.3012,0.197,0.359,597014000.0,480928000.0,314993000.0,286.992,2897.736,2.185,71.2177,123.5459,0.2482,0.0244,0.0,0.6601,0.045,0.0081,0.5424,0.0,34802979000.0,34174496000.0,0.0,0.0,0.0,-0.5738,0.0,-0.0909,-1.1907,0.094,0.009,0.301,0.046,2.1611,0.0,0.0,0.0,0.0,0.0,0.0,0.051,7.0,0.5191,0.0,33565611250.0,3366723750.0,34659167250.0,47.724,132.932,0.0,-0.158,0.0,-0.0674,-0.9263,FCNCA,403.299988,435.3625706857144,4843796192.37514
2018-03-31,0.169,0.2512,0.4822,0.4831,2.3313,0.0123,0.0875,-0.5081,0.0,0.0,0.1667,2.4929,0.0,0.1106,0.2512,0.0,399516000.0,0.169,0.0,399516000.0,0.0,214222000.0,268063000.0,131453000.0,0.0,131453000.0,31222000.0,0.0,0.0,100231000.0,0.0,100231000.0,8.35,12010405.0,0.35,1.0,0.402,0.329,0.251,1.0871,160681000.0,131453000.0,100231000.0,1674786000.0,0.1891,0.0,1674786000.0,0.0,815874000.0,1104694000.0,570092000.0,0.0,570092000.0,213730000.0,0.0,0.0,356362000.0,0.0,356362000.0,29.67,12010405.0,1.3,1.0,0.409,0.3404,0.213,0.3462,685079000.0,570092000.0,356362000.0,280.766,2848.96,36.162,62.3768,182.7599,0.2222,0.0218,0.0,4.5733,0.042,0.0064,0.5362,0.0,34217168000.0,32771318000.0,0.0,0.0,0.0,-0.0525,0.0,-0.0602,-0.8235,0.108,0.01,0.34,0.048,1.887,0.0,0.0,0.0,0.0,0.0,0.0,0.044,8.0,0.4872,0.0,33212891750.0,3314965000.0,34579488250.0,48.283,139.445,0.0,-0.1376,0.0,-0.0553,-0.8049,FCNCA,413.23999,430.9802920000001,4963179642.09595
2017-12-31,0.1848,0.5189,0.0326,0.0342,5.5542,0.0466,0.1068,0.0888,0.0,0.0,0.1667,2.6895,0.0,0.0861,0.5189,0.0,417728000.0,0.1848,0.0,417728000.0,0.0,205133000.0,294617000.0,123111000.0,0.0,123111000.0,68704000.0,0.0,0.0,54407000.0,0.0,54407000.0,4.53,12010405.0,0.35,1.0,0.364,0.2947,0.13,0.055,152014000.0,123111000.0,54407000.0,1675233000.0,0.1968,0.0,1675233000.0,0.0,790613000.0,1131535000.0,543698000.0,0.0,543698000.0,219946000.0,0.0,0.0,323752000.0,0.0,323752000.0,26.96,12010405.0,1.25,1.0,0.392,0.3246,0.193,0.1611,657344000.0,543698000.0,323752000.0,277.598,2856.175,1.914,130.2243,143.5486,0.4691,0.0453,0.0,0.874,0.077,0.0065,0.4911,0.0,34303815000.0,34143785000.0,0.0,0.0,0.0,-0.5166,0.0,-0.0588,-0.85,0.1,0.009,0.325,0.049,1.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.046,7.0,0.4719,0.0,33039257000.0,3247110500.0,34474980250.0,22.474,139.482,0.0,-0.2324,0.0,-0.0488,-0.7192,FCNCA,403.0,410.1063629999999,4840193215.0
2017-09-30,0.1284,0.3128,0.3046,0.3037,-0.1209,0.0489,0.0746,-0.016,-1.0,0.0,0.0,-0.0797,0.0,0.0846,0.3128,0.0,390616000.0,0.1284,0.0,390616000.0,0.0,198597000.0,286967000.0,103649000.0,0.0,103649000.0,36585000.0,0.0,0.0,67064000.0,0.0,67064000.0,5.58,12010405.0,0.3,1.0,0.338,0.2653,0.172,0.2295,131927000.0,103649000.0,67064000.0,1551887000.0,0.1327,0.0,1551887000.0,0.0,778287000.0,1050245000.0,501642000.0,0.0,501642000.0,179607000.0,0.0,0.0,322035000.0,0.0,322035000.0,26.8,12010405.0,1.2,1.0,0.396,0.3232,0.208,0.1504,613937000.0,501642000.0,322035000.0,275.913,2860.525,7.464,128.672,227.1879,0.4663,0.0447,0.0,1.688,0.054,0.0066,0.5084,0.0,34356062000.0,33172846000.0,1554000.0,47889500.0,0.0,-0.2081,0.0,-0.0603,-0.8333,0.102,0.009,0.323,0.046,0.9668,0.0,0.0,0.0,998.6403,32.4056,0.0,0.045,5.0,0.5015,0.0,32449883000.0,3166701250.0,34090811250.0,19.427,129.212,0.0,-0.2506,0.0,-0.0503,-0.6949,FCNCA,373.890015,345.7708600857144,4490570505.606075
2017-06-30,0.2692,0.9337,0.9427,0.9428,1.7579,0.0788,0.0673,0.0541,-1.0,0.0,0.0,8.9694,0.0,0.1157,0.9337,0.0,466926000.0,0.2692,0.0,466926000.0,0.0,197922000.0,255047000.0,211879000.0,0.0,211879000.0,77219000.0,0.0,0.0,134660000.0,0.0,134660000.0,11.21,12010405.0,0.3,1.0,0.515,0.4538,0.288,0.0706,240457000.0,211879000.0,134660000.0,1507454000.0,0.098,0.0,1507454000.0,0.0,762795000.0,1030511000.0,476943000.0,0.0,476943000.0,170568000.0,0.0,0.0,306375000.0,0.0,306375000.0,25.5,12010405.0,1.2,1.0,0.39,0.3164,0.203,0.1599,588382000.0,476943000.0,306375000.0,269.754,2875.732,2.743,138.586,286.3818,0.5138,0.0479,0.0,0.3958,0.027,0.0066,0.4239,0.0,34538705000.0,32763618000.0,2640500.0,47126000.0,0.0,-0.3818,0.0,-0.0436,-0.7122,0.099,0.009,0.316,0.045,1.0671,0.0,0.0,0.0,570.8972,31.9877,0.0,0.047,6.0,0.506,0.0,31861533500.0,3109180500.0,33687750250.0,20.074,125.512,0.0,-0.2625,0.0,-0.0569,-0.7702,FCNCA,372.700012,349.43861052777777,4476278087.62486
2017-03-31,0.0258,0.2893,0.2986,0.2972,0.8308,0.0566,0.0471,0.0373,-1.0,0.0,0.0,1.0198,0.0,0.08,0.2893,0.0,341759000.0,0.0258,0.0,341759000.0,0.0,192890000.0,236700000.0,105059000.0,0.0,105059000.0,37438000.0,0.0,0.0,67621000.0,0.0,67621000.0,5.63,12010405.0,0.3,1.0,0.389,0.3074,0.198,0.3638,132946000.0,105059000.0,67621000.0,1408405000.0,0.0515,0.0,1408405000.0,0.0,742263000.0,1033767000.0,374638000.0,0.0,374638000.0,133607000.0,0.0,0.0,241031000.0,0.0,241031000.0,20.06,12010405.0,1.2,1.0,0.345,0.266,0.171,0.1501,485471000.0,374638000.0,241031000.0,258.167,2813.6,10.353,126.814,269.6651,0.4912,0.0448,0.0,2.0349,0.053,0.0066,0.5644,0.0,33792479000.0,32076779000.0,3737000.0,64121500.0,0.0,-0.0963,0.0,-0.0388,-0.4753,0.079,0.007,0.266,0.043,1.2154,0.0,0.0,0.0,376.8812,21.9646,0.0,0.06,8.0,0.527,0.0,31372002000.0,3058143750.0,33052888500.0,17.605,117.265,0.0,-0.2782,0.0,-0.0579,-0.7353,FCNCA,335.369995,351.23222261111107,4027929464.797975
2016-12-31,0.0922,0.2112,0.2326,0.2303,-0.7957,0.0481,0.0489,0.1059,0.0,0.0,0.0,-11.0696,0.0,0.0465,0.2112,0.0,352586000.0,0.0922,0.0,352586000.0,0.0,188878000.0,271531000.0,81055000.0,0.0,81055000.0,28365000.0,0.0,0.0,52690000.0,0.0,52690000.0,4.38,12010405.0,0.3,1.0,0.308,0.2299,0.149,-0.0386,108607000.0,81055000.0,52690000.0,1399805000.0,0.0208,0.0,1399805000.0,0.0,727979000.0,1048738000.0,351067000.0,0.0,351067000.0,125585000.0,0.0,0.0,225482000.0,0.0,225482000.0,18.77,12010405.0,1.2,1.0,0.33,0.2508,0.161,0.1062,461652000.0,351067000.0,225482000.0,250.818,2727.818,-1.133,119.5987,200.8538,0.4768,0.0435,0.0,0.1377,0.068,0.0069,0.5357,0.0,32762195000.0,31786289000.0,0.0,0.0,0.0,-2.8751,0.0,-0.0592,-0.7571,0.075,0.007,0.251,0.043,1.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.064,7.0,0.5201,0.0,30880457500.0,3023268250.0,32597201500.0,12.378,116.549,0.0,-0.355,0.0,-0.0585,-0.7401,FCNCA,355.0,355.8052942647059,4263693775.0
2016-09-30,-0.0081,-0.1113,-0.0814,-0.0815,0.0686,0.0484,0.0773,0.0719,-0.6649,0.0,0.0,0.0058,0.0,0.0126,-0.1113,0.0,346183000.0,-0.0081,0.0,346183000.0,0.0,183105000.0,267233000.0,78950000.0,0.0,78950000.0,27546000.0,0.0,0.0,51404000.0,0.0,51404000.0,4.28,12010405.0,0.3,1.0,0.307,0.2281,0.148,0.2814,106372000.0,78950000.0,51404000.0,1370027000.0,-0.0166,0.0,1370027000.0,0.0,719587000.0,1033093000.0,336934000.0,0.0,336934000.0,121394000.0,0.0,0.0,215540000.0,0.0,215540000.0,17.95,12010405.0,1.2,1.0,0.331,0.2459,0.157,0.1194,453254000.0,336934000.0,215540000.0,256.756,2726.116,8.11,130.76,290.8138,0.5093,0.0476,0.0,2.505,0.07,0.007,0.5289,0.0,32741759000.0,30819448000.0,6192000.0,109908500.0,0.0,-0.2436,0.0,-0.0906,-1.1438,0.072,0.007,0.246,0.043,1.2005,25.5173,0.828,0.0,221.2576,12.4652,0.0,0.067,7.0,0.5252,0.0,30420596500.0,2988188750.0,32218476000.0,13.623,114.07,0.0,-0.3677,0.0,-0.0694,-0.8179,FCNCA,293.890015,281.20833425,3529738105.6060753
2016-06-30,0.1002,0.5723,0.5569,0.5553,0.3499,0.0432,0.0866,0.3172,-0.0907,0.0,0.0,1.7466,0.0,-0.05,0.5723,0.0,367877000.0,0.1002,0.0,367877000.0,0.0,177390000.0,258303000.0,109574000.0,0.0,109574000.0,40258000.0,0.0,0.0,69316000.0,0.0,69316000.0,5.77,12010405.0,0.3,1.0,0.374,0.2979,0.188,0.009,137546000.0,109574000.0,69316000.0,1372858000.0,0.0663,0.0,1372858000.0,0.0,717302000.0,1026032000.0,346826000.0,0.0,346826000.0,126732000.0,0.0,0.0,220094000.0,0.0,220094000.0,18.33,12010405.0,1.2,1.0,0.335,0.2526,0.16,0.1188,460434000.0,346826000.0,220094000.0,252.756,2665.195,0.275,131.4748,231.7698,0.5202,0.049,0.0,0.2788,0.052,0.0068,0.4822,0.0,32010075000.0,30805492000.0,5544500.0,108145000.0,0.0,-0.829,0.0,-0.0436,-0.5728,0.075,0.007,0.253,0.043,1.1381,25.0587,1.4041,0.0,247.6072,12.6946,0.0,0.065,4.0,0.5225,0.0,30157013250.0,2932883750.0,31837954500.0,13.577,114.306,0.0,-0.349,0.0,-0.0637,-0.7696,FCNCA,258.910004,251.61972341666666,3109614006.59162
2016-03-31,-0.0876,-0.2381,-0.2246,-0.2236,0.1981,0.0435,0.0708,0.0413,-0.6498,0.0,0.0,0.2423,0.0,-0.039,-0.2381,0.0,333159000.0,-0.0876,0.0,333159000.0,0.0,178606000.0,251671000.0,81488000.0,0.0,81488000.0,29416000.0,0.0,0.0,52072000.0,0.0,52072000.0,4.34,12010405.0,0.3,1.0,0.328,0.2446,0.156,0.1848,109127000.0,81488000.0,52072000.0,1339362000.0,0.123,0.0,1339362000.0,0.0,726637000.0,1032420000.0,306942000.0,0.0,306942000.0,111642000.0,0.0,0.0,195300000.0,0.0,195300000.0,16.27,12010405.0,1.2,1.0,0.312,0.2292,0.146,0.116,418021000.0,306942000.0,195300000.0,246.552,2661.954,5.126,122.2542,277.1649,0.4959,0.0456,0.0,1.4433,0.069,0.007,0.5361,0.0,31971141000.0,30110601000.0,14407000.0,123444000.0,0.0,-0.1809,0.0,-0.0408,-0.4919,0.068,0.006,0.229,0.043,1.2569,34.9485,2.0368,0.0,92.9661,10.85,0.0,0.074,6.0,0.5425,0.0,29865423250.0,2872430250.0,31504567500.0,12.933,111.517,0.0,-0.3672,0.0,-0.0673,-0.8116,FCNCA,251.07000699999998,242.76285662857143,3015452467.422835
2015-12-31,-0.0634,-0.2346,-0.3203,-0.3743,-0.6904,0.0466,0.0704,-0.0296,-1.0,0.0,0.0,-0.9862,0.0,0.0356,-0.2346,-0.0016,322808000.0,-0.0634,0.0,322808000.0,0.0,180486000.0,255886000.0,66922000.0,0.0,66922000.0,24174000.0,0.0,0.0,42748000.0,0.0,42748000.0,3.56,12010405.0,0.3,1.0,0.31,0.2073,0.132,0.0042,100209000.0,66922000.0,42748000.0,1371329000.0,0.3027,0.0,1371329000.0,0.0,733881000.0,1038915000.0,332414000.0,0.0,332414000.0,122028000.0,0.0,0.0,210386000.0,0.0,210386000.0,17.52,12010405.0,1.2,1.0,0.323,0.2424,0.153,0.1045,443025000.0,332414000.0,210386000.0,239.135,2601.509,0.112,108.1469,216.2473,0.4522,0.0413,0.0,0.8307,0.084,0.0073,0.5591,0.0,31245175000.0,29946845000.0,14350500.0,58267500.0,0.0,-0.962,0.0,-0.1058,-1.0262,0.075,0.007,0.242,0.044,1.1078,0.0,0.0,0.0,95.5597,23.5351,0.0,0.068,5.0,0.5352,0.0,29604567500.0,2823476000.0,31169065500.0,11.933,114.178,0.0,-0.385,0.0,-0.0654,-0.8113,FCNCA,258.170013,255.29428668571427,3100726414.985265
2015-09-30,0.4346,1.1421,1.1115,0.6884,6.0165,0.4333,0.0581,0.3177,-0.7945,0.0,0.0,2.9279,0.0,0.2856,1.1421,0.2486,349014000.0,0.4346,0.0,349014000.0,0.0,180820000.0,260172000.0,88842000.0,0.0,88842000.0,32884000.0,0.0,0.0,55958000.0,0.0,55958000.0,4.66,12010405.0,0.3,1.0,0.325,0.2546,0.16,0.2775,113552000.0,88842000.0,55958000.0,1393173000.0,0.466,0.0,1393173000.0,0.0,727680000.0,1040245000.0,352928000.0,0.0,352928000.0,122394000.0,0.0,0.0,230534000.0,0.0,230534000.0,19.65,12010405.0,1.2,1.0,0.329,0.2533,0.165,0.1721,457702000.0,352928000.0,230534000.0,238.337,2598.956,8.063,121.9921,242.6709,0.5118,0.0466,0.0,2.1533,0.064,0.0075,0.5181,0.0,31214516000.0,29765115000.0,27208000.0,120481000.0,0.0,-0.1963,0.0,-0.0678,-0.9573,0.083,0.007,0.253,0.045,1.3545,32.4969,2.4302,0.0,51.2045,11.5634,0.0,0.061,5.0,0.5223,0.0,29327389500.0,2777347250.0,30818860250.0,19.96,115.997,0.0,-0.2323,0.0,-0.0521,-0.6922,FCNCA,226.0,233.55305563888882,2714351530.0
2015-06-30,0.3957,0.7179,0.6684,0.3394,-0.4973,0.4004,0.0411,0.0868,-0.8837,0.0,0.0,-1.7078,0.0,0.32,0.7179,0.2486,334381000.0,0.3957,0.0,334381000.0,0.0,186725000.0,264691000.0,69690000.0,0.0,69690000.0,25168000.0,0.0,0.0,44522000.0,0.0,44522000.0,3.71,12010405.0,0.3,1.0,0.285,0.2084,0.133,-0.0132,95133000.0,69690000.0,44522000.0,1287443000.0,0.333,0.0,1287443000.0,0.0,687514000.0,981883000.0,305560000.0,0.0,305560000.0,104483000.0,0.0,0.0,201077000.0,0.0,201077000.0,17.75,12010405.0,1.2,1.0,0.314,0.2373,0.156,0.072,403948000.0,305560000.0,201077000.0,232.622,2552.627,-0.369,99.8129,184.652,0.4291,0.0388,0.0,0.3216,0.081,0.0077,0.5584,0.0,30658084000.0,29639132000.0,27883500.0,118159500.0,0.0,-1.3092,0.0,-0.0561,-0.7367,0.077,0.007,0.237,0.045,0.8342,34.5987,1.6466,0.0,46.1722,10.8958,0.0,0.068,5.0,0.534,0.0,27340023750.0,2603392000.0,28442027000.0,7.714,107.194,0.0,-0.4476,0.0,-0.0583,-0.7631,FCNCA,263.040009,247.42111119444442,3159217039.293645
2015-03-31,0.6217,2.135,1.9876,1.3889,-0.0055,0.3926,0.0522,0.3326,-0.7146,0.0,0.0,0.083,0.0,0.3406,2.135,0.2486,365126000.0,0.6217,0.0,365126000.0,0.0,185850000.0,258166000.0,106960000.0,0.0,106960000.0,39802000.0,0.0,0.0,67158000.0,0.0,67158000.0,5.59,12010405.0,0.3,1.0,0.367,0.2929,0.184,0.1357,134131000.0,106960000.0,67158000.0,1192648000.0,0.2121,0.0,1192648000.0,0.0,642250000.0,916212000.0,276436000.0,0.0,276436000.0,93195000.0,0.0,0.0,183241000.0,0.0,183241000.0,16.81,12010405.0,1.2,1.0,0.308,0.2318,0.154,0.0866,367722000.0,276436000.0,183241000.0,230.248,2548.788,4.126,117.4007,246.022,0.5099,0.0457,0.0,0.9341,0.054,0.0078,0.509,0.0,30611972000.0,29067178000.0,48062000.0,114992000.0,0.0,-0.2101,0.0,-0.0361,-0.485,0.075,0.007,0.232,0.045,0.9926,36.3103,6.5309,0.0,24.8148,10.3716,0.0,0.071,8.0,0.5385,0.0,25267621250.0,2442205750.0,26233523250.0,8.604,99.301,0.0,-0.4319,0.0,-0.0659,-0.8606,FCNCA,259.690002,253.64139005555555,3118982098.47081
2014-12-31,0.4226,0.9025,1.3828,1.0691,0.6981,0.419,0.0374,0.3095,-0.6927,0.0,0.0,1.4199,0.0,0.2488,0.9025,0.2507,344652000.0,0.4226,0.0,344652000.0,0.0,174285000.0,257216000.0,87436000.0,0.0,87436000.0,24540000.0,0.0,0.0,62896000.0,0.0,62896000.0,5.69,12030061.0,0.3,1.0,0.333,0.2537,0.182,0.2836,114886000.0,87436000.0,62896000.0,1052670000.0,0.0124,0.0,1052670000.0,0.0,595036000.0,849076000.0,203594000.0,0.0,203594000.0,65032000.0,0.0,0.0,138562000.0,0.0,138562000.0,13.56,10221721.0,1.2,1.0,0.272,0.1934,0.132,0.0946,286030000.0,203594000.0,138562000.0,223.407,2479.516,8.126,111.2633,193.6067,0.498,0.0445,0.0,1.8237,0.053,0.0082,0.5057,0.0,29828730000.0,28838133000.0,61049000.0,112956500.0,0.0,-0.1477,0.0,-0.0492,-0.6173,0.061,0.006,0.193,0.044,1.3152,40.407,9.9517,0.0,17.243,9.3193,0.0,0.088,12.0,0.5653,0.0,23344982000.0,2277069000.0,24058860250.0,9.737,102.984,0.0,-0.4538,0.0,-0.0786,-1.0033,FCNCA,252.789993,253.64171402857136,3041079035.9795732
2014-09-30,-0.0599,-0.3777,-0.3534,-0.3521,-1.2018,0.02,0.0932,-0.0031,-0.5511,0.0,0.0,-1.4701,0.0,0.0341,-0.3777,0.0,243284000.0,-0.0599,0.0,243284000.0,0.0,140654000.0,201810000.0,41474000.0,0.0,41474000.0,14973000.0,0.0,0.0,26501000.0,0.0,26501000.0,2.76,9618941.0,0.3,1.0,0.246,0.1705,0.109,-0.2065,59798000.0,41474000.0,26501000.0,950291000.0,-0.079,0.0,950291000.0,0.0,560314000.0,788175000.0,162116000.0,0.0,162116000.0,60054000.0,0.0,0.0,102062000.0,0.0,102062000.0,10.62,9618941.0,1.2,1.0,0.25,0.1706,0.107,0.0444,238040000.0,162116000.0,102062000.0,225.254,2267.616,-5.222,115.5987,115.2253,0.5132,0.0507,0.0,-0.9064,0.109,0.0059,0.5781,0.0,21812060000.0,21815652000.0,72846500.0,112171500.0,0.0,1.0913,0.0,-0.1077,-1.4305,0.048,0.005,0.171,0.044,1.3236,44.9097,17.338,0.0,13.0451,8.4718,0.0,0.113,9.0,0.5896,0.0,21315262250.0,2123036000.0,21838551500.0,4.384,98.794,0.0,-0.6878,0.0,-0.0978,-1.2238,FCNCA,216.63000499999998,222.72889030555552,2083751236.9247048
