,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2018-06-30,0.5716,0.9735,1.3222,0.6111,0.6111,-0.11,0.7826,0.184,1.9606,0.0,0.0,0.2,-0.2652,0.0,0.5501,0.9735,0.4693,165852000.0,0.5716,0.0,165852000.0,0.0,67619000.0,98507000.0,67345000.0,0.0,67345000.0,13783000.0,0.0,0.0,53562000.0,0.0,53562000.0,0.58,0.58,92243103.0,0.15,1.0,0.448,0.4061,0.323,0.1571,74268000.0,67345000.0,53562000.0,592839000.0,0.4587,0.0,592839000.0,0.0,241913000.0,371229000.0,221610000.0,0.0,221610000.0,68981000.0,0.0,0.0,152629000.0,0.0,152629000.0,1.765,1.75,92243103.0,0.55,1.0,0.416,0.3738,0.257,0.2216,246623000.0,221610000.0,152629000.0,23.274,165.033,0.282,21.3019,10.2322,0.9152,0.1216,0.0,0.5669,0.259,0.0583,0.4077,0.0,15223126000.0,16244229000.0,0.0,0.0,0.0,-0.1419,0.08,0.011,0.374,0.042,0.9783,0.0,0.0,0.0,0.0,0.0,0.0,0.312,16.0,0.4081,0.0,14075653000.0,1899430500.0,14088504500.0,1.425,6.427,0.0,-0.12,SFNC,29.9,31.512857057142863,2758068779.7
2018-03-31,0.6646,1.0521,1.3197,0.6,0.5714,0.9206,0.808,0.2248,1.8293,0.0,0.0,0.2,3.2974,0.0,0.517,1.0521,0.4706,163351000.0,0.6646,0.0,163351000.0,0.0,67720000.0,98073000.0,65278000.0,0.0,65278000.0,13966000.0,0.0,0.0,51312000.0,0.0,51312000.0,0.56,0.55,92203928.0,0.15,1.0,0.44,0.3996,0.314,0.4545,71955000.0,65278000.0,51312000.0,532520000.0,0.3322,0.0,532520000.0,0.0,217917000.0,344130000.0,188390000.0,0.0,188390000.0,66258000.0,0.0,0.0,122132000.0,0.0,122132000.0,1.545,1.53,92203928.0,0.525,1.0,0.397,0.3538,0.229,0.2644,211176000.0,188390000.0,122132000.0,22.874,158.91,0.805,18.7667,9.3235,0.8204,0.1109,0.0,1.5647,0.268,0.0606,0.4146,0.0,14652118000.0,15522814000.0,0.0,0.0,0.0,-0.0754,0.073,0.01,0.354,0.043,1.2533,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.0,0.4092,0.0,12255701250.0,1671222500.0,12314198250.0,1.527,5.775,0.0,-0.0801,SFNC,28.450001,29.381176470588237,2623201843.803928
2017-12-31,0.4508,0.1541,-0.2991,-0.5977,-0.5833,-0.5805,0.7923,0.2318,2.6627,0.0,0.0,0.0417,-0.8356,0.0,0.4408,0.1541,0.4701,153947000.0,0.4508,0.0,153947000.0,0.0,61521000.0,108490000.0,45457000.0,0.0,45457000.0,26554000.0,0.0,0.0,18903000.0,0.0,18903000.0,0.175,0.175,91941594.0,0.125,1.0,0.337,0.2953,0.123,0.0056,51930000.0,45457000.0,18903000.0,467302000.0,0.1726,0.0,467302000.0,0.0,194839000.0,312379000.0,154923000.0,0.0,154923000.0,61983000.0,0.0,0.0,92940000.0,0.0,92940000.0,1.34,1.33,91941594.0,0.5,1.0,0.377,0.3315,0.199,0.1794,175985000.0,154923000.0,92940000.0,22.673,153.435,0.009,17.8704,6.5046,0.7882,0.1091,0.0,0.3231,0.714,0.063,0.3996,0.0,14107084000.0,15152075000.0,0.0,0.0,0.0,-0.8589,0.065,0.009,0.332,0.044,1.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.373,19.0,0.4169,0.0,10507872250.0,1436682000.0,10571530500.0,0.912,5.083,0.0,-0.2683,SFNC,28.549999,28.363636303030304,2624932416.758406
2017-09-30,0.135,0.2724,0.2315,0.1688,0.1711,0.0653,0.159,0.0348,0.7798,0.0,0.0,0.0417,0.1349,0.0,0.1057,0.2724,0.0591,109689000.0,0.135,0.0,109689000.0,0.0,45053000.0,66159000.0,43530000.0,0.0,43530000.0,14678000.0,0.0,0.0,28852000.0,0.0,28852000.0,0.45,0.445,64427276.0,0.125,1.0,0.442,0.3968,0.263,0.2757,48470000.0,43530000.0,28852000.0,419466000.0,0.0712,0.0,419466000.0,0.0,176018000.0,270614000.0,148852000.0,0.0,148852000.0,47844000.0,0.0,0.0,101008000.0,0.0,101008000.0,1.595,1.575,64427276.0,0.495,1.0,0.401,0.3549,0.241,0.2103,168190000.0,148852000.0,101008000.0,19.513,141.309,0.469,11.0457,6.7097,0.5661,0.0746,0.0,1.1282,0.278,0.0452,0.4107,0.0,9104138000.0,9383494000.0,0.0,0.0,0.0,-0.0709,0.084,0.011,0.355,0.047,1.218,0.0,0.0,0.0,0.0,0.0,0.0,0.31,15.0,0.4196,0.0,8760233000.0,1203318750.0,8907593000.0,1.369,6.511,0.0,-0.2829,SFNC,28.950001,26.66971440000001,1865169704.627276
2017-06-30,0.0676,-0.0171,0.0068,-0.04,-0.04,-0.3328,0.2036,0.093,0.8693,0.0,0.0,0.0417,-0.289,0.0,0.0345,-0.0171,0.0351,105533000.0,0.0676,0.0,105533000.0,0.0,43623000.0,71408000.0,34125000.0,0.0,34125000.0,11060000.0,0.0,0.0,23065000.0,0.0,23065000.0,0.36,0.36,62780892.0,0.125,1.0,0.368,0.3234,0.219,0.336,38821000.0,34125000.0,23065000.0,406422000.0,0.0287,0.0,406422000.0,0.0,171711000.0,266889000.0,139533000.0,0.0,139533000.0,43948000.0,0.0,0.0,95585000.0,0.0,95585000.0,1.53,1.51,62780892.0,0.49,1.0,0.389,0.3433,0.235,0.2082,158121000.0,139533000.0,95585000.0,19.657,137.468,0.565,10.5716,5.2502,0.5378,0.0732,0.0,1.4792,0.347,0.0483,0.4134,0.0,8630343000.0,8964422000.0,0.0,0.0,0.0,0.0393,0.081,0.011,0.343,0.047,1.2663,0.0,0.0,0.0,0.0,0.0,0.0,0.32,14.0,0.4225,0.0,8356681250.0,1175804250.0,8580498500.0,1.348,6.474,0.0,-0.3008,SFNC,26.450001,26.03958352777778,1660554656.180892
2017-03-31,0.0126,-0.0943,-0.058,-0.0909,-0.0909,9.173,0.1446,0.058,0.8293,0.0,0.0,0.0417,3.1875,0.0,0.0336,-0.0943,0.0324,98133000.0,0.0126,0.0,98133000.0,0.0,44642000.0,66322000.0,31811000.0,0.0,31811000.0,9691000.0,0.0,0.0,22120000.0,0.0,22120000.0,0.35,0.35,62697178.0,0.125,1.0,0.375,0.3242,0.225,0.176,36764000.0,31811000.0,22120000.0,399744000.0,0.0214,0.0,399744000.0,0.0,170258000.0,259618000.0,140126000.0,0.0,140126000.0,44697000.0,0.0,0.0,95429000.0,0.0,95429000.0,1.545,1.525,62697178.0,0.485,1.0,0.395,0.3505,0.239,0.2478,157970000.0,140126000.0,95429000.0,18.675,131.189,0.276,9.7546,4.8691,0.5223,0.0709,0.0,1.8899,0.357,0.0465,0.4549,0.0,8225195000.0,8531498000.0,0.0,0.0,0.0,-0.5868,0.084,0.012,0.351,0.049,1.4467,0.0,0.0,0.0,0.0,0.0,0.0,0.314,14.0,0.4259,0.0,7930737250.0,1139963000.0,8196976250.0,1.58,6.376,0.0,-0.2826,SFNC,27.575001,28.78888894444445,1728874746.047178
2016-12-31,0.07,0.2558,0.1341,0.0875,0.0633,0.2027,0.1112,0.0235,0.392,0.0,0.0,0.0435,-0.3757,0.0,-0.0851,0.2558,0.0445,106111000.0,0.07,0.0,106111000.0,0.0,42700000.0,66725000.0,39386000.0,0.0,39386000.0,12415000.0,0.0,0.0,26971000.0,0.0,26971000.0,0.435,0.42,62541044.0,0.12,1.0,0.416,0.3712,0.254,0.0494,44135000.0,39386000.0,26971000.0,398523000.0,0.0941,0.0,398523000.0,0.0,168807000.0,255085000.0,143438000.0,0.0,143438000.0,46624000.0,0.0,0.0,96814000.0,24000.0,96790000.0,1.58,1.56,62541044.0,0.48,1.0,0.403,0.3599,0.243,0.1854,160416000.0,143438000.0,96814000.0,18.406,127.893,0.084,7.1726,4.5675,0.3897,0.0534,0.0,0.5397,0.276,0.0478,0.4024,0.0,7998592000.0,8161518000.0,0.0,0.0,0.0,-0.6398,0.087,0.012,0.36,0.05,0.9416,0.0,0.0,0.0,0.0,0.0,0.0,0.304,13.0,0.4236,0.0,7615052250.0,1115236750.0,7924555000.0,1.181,6.372,0.0,-0.1894,SFNC,31.075001,30.795588235294115,1943463004.841044
2016-09-30,-0.0348,0.0482,0.0848,0.0694,0.0556,-0.4424,0.0883,0.0798,0.1564,0.0,0.0,0.0435,-0.5341,0.0,-0.1145,0.0482,0.0162,96645000.0,-0.0348,0.0,96645000.0,0.0,40746000.0,62434000.0,34211000.0,0.0,34211000.0,10782000.0,0.0,0.0,23429000.0,0.0,23429000.0,0.385,0.38,60833254.0,0.12,1.0,0.397,0.354,0.242,0.2758,38401000.0,34211000.0,23429000.0,391580000.0,0.1842,0.0,391580000.0,0.0,172779000.0,256164000.0,135416000.0,0.0,135416000.0,41714000.0,0.0,0.0,93702000.0,101000.0,93601000.0,1.545,1.535,60833254.0,0.475,1.0,0.384,0.3458,0.239,0.1967,150415000.0,135416000.0,93702000.0,18.857,128.613,0.438,6.573,7.4716,0.3486,0.0486,0.0,1.3042,0.312,0.049,0.4216,0.0,7823955000.0,7769287000.0,0.0,0.0,0.0,-0.1278,0.085,0.012,0.346,0.051,0.9474,0.0,0.0,0.0,0.0,0.0,0.0,0.307,12.0,0.4412,0.0,7386855250.0,1096672750.0,7714455500.0,1.266,6.437,0.0,-0.1314,SFNC,24.950001,24.502777749999993,1517789748.133254
2016-06-30,0.0389,0.1441,0.1444,0.1194,0.1194,139.8705,-0.0105,0.0474,0.0294,0.0,0.0,0.0435,13.5722,0.0,-0.0284,0.1441,0.0159,98855000.0,0.0389,0.0,98855000.0,0.0,42170000.0,64137000.0,34718000.0,0.0,34718000.0,11809000.0,0.0,0.0,22909000.0,0.0,22909000.0,0.375,0.375,60649242.0,0.12,1.0,0.391,0.3512,0.232,0.5045,38670000.0,34718000.0,22909000.0,395068000.0,0.3755,0.0,395068000.0,0.0,178047000.0,261225000.0,133843000.0,0.0,133843000.0,41895000.0,0.0,0.0,91948000.0,178000.0,91770000.0,1.52,1.515,60649242.0,0.47,1.0,0.376,0.3388,0.232,0.2723,148591000.0,133843000.0,91948000.0,17.984,117.993,0.822,5.8541,4.1321,0.3255,0.0471,0.0,2.2321,0.32,0.0502,0.4266,0.0,7156204000.0,7260646000.0,0.0,0.0,0.0,-0.0247,0.086,0.012,0.339,0.052,1.2306,0.0,0.0,0.0,0.0,0.0,0.0,0.309,11.0,0.4507,0.0,7230853250.0,1071247750.0,7547631000.0,1.774,6.514,0.0,-0.0474,SFNC,23.094998999999998,23.125,1400694183.3407578
2016-03-31,0.3819,1.7191,1.6962,0.9744,0.9744,-1.2993,-0.0359,0.0391,-0.2725,0.0,0.0,0.0435,-1.5792,0.0,0.2918,1.7191,0.0177,96912000.0,0.3819,0.0,96912000.0,0.0,43191000.0,61789000.0,35123000.0,0.0,35123000.0,11618000.0,0.0,0.0,23505000.0,24000.0,23481000.0,0.385,0.385,60728258.0,0.12,1.0,0.405,0.3624,0.242,-0.0815,39210000.0,35123000.0,23505000.0,391362000.0,0.589,0.0,391362000.0,0.0,179280000.0,261892000.0,129470000.0,0.0,129470000.0,40336000.0,0.0,0.0,89134000.0,255000.0,88879000.0,1.48,1.475,60728258.0,0.465,1.0,0.368,0.3308,0.227,0.1373,144210000.0,129470000.0,89134000.0,17.652,117.861,-0.13,5.5054,3.6731,0.3119,0.0444,0.0,-0.2178,0.312,0.0503,0.4457,0.0,7157484000.0,7268758000.0,0.0,0.0,0.0,0.5439,0.084,0.012,0.331,0.052,0.6993,0.0,0.0,0.0,0.0,0.0,0.0,0.314,11.0,0.4581,0.0,7242168750.0,1054846250.0,7567665750.0,0.885,6.444,0.0,-0.1355,SFNC,22.535,21.661857228571428,1368511294.03
2015-12-31,0.5193,0.7131,0.8816,0.1268,0.0972,29.4131,0.6281,0.3114,0.3106,0.0,0.0,0.0455,0.0435,0.0,0.5506,0.7131,0.6613,99168000.0,0.5193,0.0,99168000.0,0.0,46672000.0,67804000.0,31364000.0,0.0,31364000.0,7505000.0,0.0,0.0,23859000.0,77000.0,23782000.0,0.4,0.395,59879304.0,0.115,1.0,0.344,0.3163,0.24,0.0847,34134000.0,31364000.0,23859000.0,364234000.0,0.6116,0.0,364234000.0,0.0,169453000.0,256970000.0,107264000.0,0.0,107264000.0,32900000.0,0.0,0.0,74364000.0,257000.0,74107000.0,1.32,1.31,59879304.0,0.46,1.0,0.332,0.2945,0.203,0.2066,120918000.0,107264000.0,74364000.0,17.984,119.887,0.14,5.3818,4.2128,0.2993,0.0426,0.0,0.509,0.287,0.0504,0.4706,0.0,7178735000.0,7248730000.0,0.0,0.0,0.0,-0.3062,0.071,0.01,0.294,0.048,1.1383,0.0,0.0,0.0,0.0,0.0,0.0,0.348,14.0,0.4652,0.0,7232230250.0,1040284500.0,7637883500.0,1.257,6.083,0.0,-0.1078,SFNC,25.68,27.20142857142857,1537700526.72
2015-09-30,0.7667,1.6481,1.4577,0.3846,0.3846,3.7469,0.6115,0.1787,0.3454,0.0,0.0,0.0455,4.1656,0.0,0.7391,1.6481,0.8324,100133000.0,0.7667,0.0,100133000.0,0.0,46014000.0,67495000.0,32638000.0,0.0,32638000.0,10963000.0,0.0,0.0,21675000.0,77000.0,21598000.0,0.36,0.36,59864396.0,0.115,1.0,0.365,0.3259,0.216,0.5712,36577000.0,32638000.0,21675000.0,330682000.0,0.5976,0.0,330682000.0,0.0,152952000.0,236474000.0,94208000.0,0.0,94208000.0,31064000.0,0.0,0.0,63144000.0,180000.0,62964000.0,1.245,1.25,59864396.0,0.455,1.0,0.326,0.2849,0.19,0.2265,107804000.0,94208000.0,63144000.0,17.463,120.28,0.955,5.7759,6.6984,0.3307,0.0457,0.0,2.5374,0.319,0.0475,0.4595,0.0,7200508000.0,7145279000.0,0.0,0.0,0.0,0.0437,0.07,0.009,0.285,0.048,1.1408,0.0,0.0,0.0,0.0,0.0,0.0,0.365,16.0,0.4625,0.0,6525725750.0,894650500.0,6908807500.0,1.251,5.524,0.0,0.043,SFNC,23.965,22.62875008333334,1434650250.14
2015-06-30,0.7551,1.1114,1.0204,0.0984,0.1167,1.2689,0.7602,0.3526,0.4711,0.0,0.0,0.0455,-1.5331,0.0,0.639,1.1114,0.83,95149000.0,0.7551,0.0,95149000.0,0.0,43403000.0,64804000.0,30345000.0,0.0,30345000.0,10250000.0,0.0,0.0,20095000.0,77000.0,20018000.0,0.335,0.335,59702508.0,0.115,1.0,0.36,0.3189,0.21,-0.0417,34289000.0,30345000.0,20095000.0,287228000.0,0.503,0.0,287228000.0,0.0,133397000.0,213333000.0,73895000.0,0.0,73895000.0,23638000.0,0.0,0.0,50257000.0,103000.0,50154000.0,1.145,1.15,59702508.0,0.45,1.0,0.296,0.2573,0.175,0.1002,84965000.0,73895000.0,50257000.0,17.17,121.494,-0.066,5.7771,4.8988,0.3365,0.0453,0.0,0.0181,0.343,0.0474,0.4562,0.0,7253471000.0,7305908000.0,0.0,0.0,0.0,-11.9284,0.066,0.008,0.257,0.046,0.5697,0.0,0.0,0.0,0.0,0.0,0.0,0.393,16.0,0.4644,0.0,5870099250.0,754291500.0,6191689500.0,0.482,4.811,0.0,0.0076,SFNC,23.34,22.300972138888895,1393456536.72
2015-03-31,0.4072,1.4445,1.0011,0.4444,0.4444,8.0947,0.7781,0.3583,0.8971,0.0,0.0,0.0455,2.5434,0.0,0.1786,1.4445,0.8353,70128000.0,0.4072,0.0,70128000.0,0.0,33435000.0,57211000.0,12917000.0,0.0,12917000.0,4182000.0,0.0,0.0,8735000.0,26000.0,8709000.0,0.195,0.195,59673588.0,0.115,1.0,0.227,0.1842,0.124,0.1944,15918000.0,12917000.0,8735000.0,246293000.0,0.3937,0.0,246293000.0,0.0,116476000.0,188371000.0,57922000.0,0.0,57922000.0,17852000.0,0.0,0.0,40070000.0,26000.0,40044000.0,1.115,1.115,59673588.0,0.445,1.0,0.272,0.2352,0.163,0.1632,66959000.0,57922000.0,40070000.0,16.988,124.935,0.228,7.7009,11.493,0.4533,0.0588,0.0,1.9622,0.59,0.0464,0.4768,0.0,7455294000.0,7229004000.0,0.0,0.0,0.0,-0.2021,0.067,0.007,0.235,0.046,0.6707,0.0,0.0,0.0,0.0,0.0,0.0,0.399,22.0,0.4729,0.0,5054873750.0,601549000.0,5369560250.0,0.674,4.127,0.0,0.4966,SFNC,22.735001,21.150277888888898,1356679082.853588
2014-12-31,0.4109,2.9939,2.3384,2.087,2.1304,-1.077,0.0594,0.1005,0.0012,0.0,0.0,0.0476,0.8804,0.0,0.217,2.9939,0.1123,65272000.0,0.4109,0.0,65272000.0,0.0,30100000.0,46964000.0,18308000.0,0.0,18308000.0,5669000.0,0.0,0.0,12639000.0,0.0,12639000.0,0.355,0.36,36044022.0,0.11,1.0,0.322,0.2805,0.194,0.1233,21020000.0,18308000.0,12639000.0,226011000.0,0.3505,0.0,226011000.0,0.0,111368000.0,175721000.0,50290000.0,0.0,50290000.0,14602000.0,0.0,0.0,35688000.0,0.0,35688000.0,1.055,1.055,36044022.0,0.44,1.0,0.258,0.2225,0.158,0.1346,58223000.0,50290000.0,35688000.0,13.714,125.201,0.223,6.8219,9.3194,0.4974,0.053,0.0,-0.0337,0.31,0.0281,0.4611,0.0,4512733000.0,4422712000.0,0.0,0.0,0.0,-19.892,0.079,0.008,0.223,0.05,0.3264,0.0,0.0,0.0,0.0,0.0,0.0,0.417,14.0,0.4928,0.0,4253546750.0,449782750.0,4514266000.0,0.844,6.27,0.0,1.6107,SFNC,20.325001,20.25385705714286,732594783.194022
2014-09-30,0.3893,0.2458,0.2677,0.2093,0.2093,1.6981,0.3631,0.1941,0.6171,0.0,0.0,0.0476,1.7429,0.0,0.2138,0.2458,0.0057,56679000.0,0.3893,0.0,56679000.0,0.0,26459000.0,44354000.0,12325000.0,0.0,12325000.0,3537000.0,0.0,0.0,8788000.0,0.0,8788000.0,0.26,0.26,32670338.0,0.11,1.0,0.242,0.2175,0.155,0.1954,13738000.0,12325000.0,8788000.0,206992000.0,0.2533,0.0,206992000.0,0.0,106041000.0,170427000.0,36565000.0,0.0,36565000.0,9731000.0,0.0,0.0,26834000.0,0.0,26834000.0,0.815,0.81,32670338.0,0.435,1.0,0.21,0.1766,0.13,0.1287,43497000.0,36565000.0,26834000.0,14.815,139.578,0.339,7.8662,9.008,0.531,0.0548,0.0,1.3137,0.423,0.028,0.4668,0.0,4560076000.0,4522773000.0,0.0,0.0,0.0,-0.0409,0.063,0.006,0.177,0.047,0.6563,0.0,0.0,0.0,0.0,0.0,0.0,0.534,12.0,0.5123,0.0,4146822750.0,427161000.0,4449202500.0,0.815,6.336,0.0,0.5129,SFNC,19.26,19.96902777777778,629230709.88
