,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-06-30,0.111,0.305,0.4203,0.4091,0.3636,0.0351,0.2868,0.0213,0.1057,-0.0953,0.1121,0.0508,0.0,0.3079,0.2418,0.0689,0.305,0.0066,212820000.0,0.0795,96549000.0,116271000.0,9985000.0,89604000.0,99589000.0,16682000.0,5091000.0,11591000.0,2872000.0,0.0,0.0,8719000.0,0.0,8719000.0,0.31,0.3,28075000.0,28846000.0,0.2,0.5463,0.1,0.0784,0.041,0.0804,21186000.0,16682000.0,8719000.0,827556000.0,0.0711,375224000.0,452332000.0,34344000.0,347382000.0,381726000.0,70606000.0,19595000.0,51011000.0,-22258000.0,0.0,0.0,73269000.0,0.0,73269000.0,2.63,2.59,28075000.0,0.8,0.5466,0.109,0.0853,0.089,0.0789,89933000.0,70606000.0,73269000.0,23.088,18.975,0.61,15.9995,0.8335,0.693,0.3294,3.2768,1.966,2.3655,0.645,0.6094,0.421,0.0469,170733000.0,532732000.0,-368140000.0,781851000.0,153539000.0,49289000.0,139939500.0,-0.1701,0.0125,20.0975,-0.0165,-0.7789,0.117,0.054,0.0374,0.085,7.0,0.609,1.0903,22.9862,71.3133,63.2499,5.3899,16.7899,5.9137,0.304,35.0,0.4198,0.0415,824609250.0,627979500.0,1358228500.0,2.325,29.477,3.6033,0.2565,-0.1829,0.0111,-0.0177,-0.7558,CNMD,73.199997,71.4219997142857,2055089915.7749999
2018-03-31,0.0968,7.9278,3.3448,3.375,3.3125,0.0223,0.6356,0.0166,0.111,-0.0805,0.1284,0.0407,0.0,0.6705,0.0122,-0.1076,7.9278,0.0051,202064000.0,0.0831,92507000.0,109557000.0,7711000.0,84568000.0,92279000.0,17278000.0,4818000.0,12460000.0,1803000.0,0.0,0.0,10657000.0,0.0,10657000.0,0.38,0.37,28008000.0,28573000.0,0.2,0.5422,0.108,0.0855,0.053,0.1051,21780000.0,17278000.0,10657000.0,811890000.0,0.0559,371177000.0,440713000.0,32400000.0,341606000.0,374006000.0,66707000.0,18902000.0,47805000.0,-22884000.0,0.0,0.0,70689000.0,0.0,70689000.0,2.54,2.51,28008000.0,0.8,0.5428,0.106,0.0822,0.087,0.0754,86422000.0,66707000.0,70689000.0,22.944,18.87,0.758,16.3596,0.7545,0.713,0.3394,3.5861,2.149,2.3479,0.526,0.6085,0.4185,0.0382,183078000.0,528519000.0,-365028000.0,806289000.0,148833000.0,48415000.0,142935000.0,-0.1512,0.0114,20.0675,-0.0187,-0.8403,0.116,0.052,0.0352,0.082,7.0,0.601,1.0651,22.4663,70.9468,65.5412,5.455,16.7694,5.6801,0.315,33.0,0.4208,0.0399,841618750.0,611520250.0,1351129250.0,2.187,28.988,3.5291,0.2366,-0.1865,0.0109,-0.0173,-0.7122,CNMD,63.330002,62.119117382352954,1773746696.016
2017-12-31,0.1589,0.8385,5.9612,6.0,5.9167,0.0087,0.5199,0.0218,0.0833,-0.0242,0.1268,0.041,0.0,0.8347,0.0975,0.0655,0.8385,0.004,222555000.0,0.0905,98598000.0,123957000.0,8378000.0,92403000.0,100781000.0,23176000.0,4880000.0,18296000.0,-28400000.0,0.0,0.0,46696000.0,0.0,46696000.0,1.68,1.66,27933864.0,28183000.0,0.2,0.557,0.127,0.1041,0.21,0.0773,28262000.0,23176000.0,46696000.0,796392000.0,0.0431,365351000.0,431041000.0,32307000.0,351799000.0,384106000.0,46935000.0,18203000.0,28732000.0,-26755000.0,0.0,0.0,55487000.0,0.0,55487000.0,1.99,1.97,27933864.0,0.8,0.5412,0.084,0.0589,0.07,0.0662,67014000.0,46935000.0,55487000.0,22.605,19.37,0.616,17.4141,1.1678,0.7704,0.3582,4.7492,2.379,0.4457,0.119,0.6016,0.4152,0.0376,206780000.0,541067000.0,-369746000.0,844885000.0,157640500.0,41845500.0,138652500.0,-0.1735,0.0096,16.0576,-0.0162,-0.7098,0.093,0.041,0.0247,0.059,7.0,0.592,1.1816,19.2695,76.5559,64.8225,5.052,19.0317,5.7438,0.402,40.0,0.4417,0.0406,853381750.0,594743750.0,1345627000.0,1.887,28.51,2.5784,0.1718,-0.1959,0.0106,-0.0161,-0.6396,CNMD,50.970001,51.61424242424243,1423789076.013864
2017-09-30,0.0132,-0.0272,-0.0191,0.0,0.0,0.0151,-0.4577,0.0229,0.0056,0.016,0.1017,-0.2068,0.0,-0.6422,-0.0099,0.0228,-0.0272,0.0038,190117000.0,0.0288,87570000.0,102547000.0,8270000.0,80807000.0,89077000.0,13470000.0,4806000.0,8664000.0,1467000.0,0.0,0.0,7197000.0,0.0,7197000.0,0.26,0.26,27924000.0,28139000.0,0.2,0.5394,0.098,0.0709,0.038,0.0511,18705000.0,13470000.0,7197000.0,777932000.0,0.0366,363889000.0,414043000.0,31563000.0,346115000.0,377678000.0,36365000.0,17234000.0,19131000.0,3632000.0,0.0,0.0,15499000.0,0.0,15499000.0,0.56,0.56,27924000.0,0.8,0.5322,0.073,0.0467,0.02,0.0577,56595000.0,36365000.0,15499000.0,21.117,19.354,0.348,18.2041,1.5769,0.8621,0.3734,2.8027,2.56,1.8658,0.769,0.603,0.425,0.0435,217361000.0,540438000.0,-414837000.0,865412000.0,139963000.0,43481000.0,169032500.0,-0.2761,0.0111,24.8221,-0.0195,-0.7081,0.027,0.012,0.0191,0.047,4.0,0.581,3.771,23.5807,68.8475,70.1617,5.5581,17.8913,4.6023,1.429,53.0,0.4449,0.0406,859380500.0,582029750.0,1338382500.0,1.608,27.859,2.1101,0.0463,-0.2318,0.0102,-0.0174,-0.6697,CNMD,52.470001,50.12342837142857,1465172307.924
2017-06-30,0.0218,0.6636,1.1286,1.2,1.2,-0.0011,-0.1088,-0.0026,0.0004,-0.043,0.0413,-0.2414,0.0,-0.0014,0.004,-0.0334,0.6636,0.0041,197154000.0,0.0192,92502000.0,104652000.0,8041000.0,83828000.0,91869000.0,12783000.0,4398000.0,8385000.0,2246000.0,0.0,0.0,6139000.0,0.0,6139000.0,0.22,0.22,27891000.0,27867000.0,0.2,0.5308,0.09,0.0648,0.031,0.0664,17675000.0,12783000.0,6139000.0,772607000.0,0.0514,359902000.0,412705000.0,31646000.0,344317000.0,375963000.0,36742000.0,16289000.0,20453000.0,4814000.0,0.0,0.0,15639000.0,0.0,15639000.0,0.56,0.56,27891000.0,0.8,0.5342,0.074,0.0476,0.02,0.0807,57038000.0,36742000.0,15639000.0,20.88,18.761,0.469,17.8008,1.4392,0.8525,0.3718,2.9065,2.624,2.6108,0.909,0.6081,0.4252,0.0408,210600000.0,523262000.0,-412667000.0,849889000.0,142505500.0,39247500.0,158193500.0,-0.1835,0.0115,25.8184,-0.0149,-0.6012,0.027,0.012,0.0195,0.048,4.0,0.581,4.462,21.9499,68.6866,64.4739,5.4216,19.6855,4.8839,1.429,51.0,0.4457,0.041,860188750.0,580657000.0,1330766750.0,2.235,27.701,2.2556,0.0476,-0.1065,0.01,-0.0096,-0.3662,CNMD,50.939999,51.01583302777778,1420767512.109
2017-03-31,0.0219,-5.1776,-1.0066,-1.0,-1.0,0.0034,1.9239,-0.011,-0.0168,-0.0448,0.0405,-0.2432,0.0,1.6572,-0.0775,0.1026,-5.1776,0.0053,186567000.0,0.0296,86682000.0,99885000.0,7618000.0,94761000.0,102379000.0,-2494000.0,4119000.0,-6613000.0,-2068000.0,0.0,0.0,-4545000.0,0.0,-4545000.0,-0.16,-0.16,27867000.0,27951000.0,0.2,0.5354,0.013,-0.0134,-0.024,0.0681,2372000.0,-2494000.0,-4545000.0,768886000.0,0.0643,358411000.0,410475000.0,31614000.0,347218000.0,378832000.0,31643000.0,15648000.0,15995000.0,3611000.0,0.0,0.0,12384000.0,0.0,12384000.0,0.44,0.44,27867000.0,0.8,0.5339,0.068,0.0412,0.016,0.0811,52002000.0,31643000.0,12384000.0,20.652,18.484,0.456,17.8828,1.2438,0.8659,0.3752,-0.6055,2.659,-3.3659,-1.25,0.6121,0.5079,0.0408,208058000.0,515105000.0,-419000000.0,853341000.0,137133500.0,37943500.0,162595500.0,-0.1689,0.0105,195.481,-0.0139,-0.531,0.021,0.009,0.0168,0.041,4.0,0.577,5.7927,22.2436,66.391,66.4992,5.6068,20.264,4.7288,1.818,54.0,0.4516,0.0411,872963500.0,580001500.0,1331641500.0,2.238,27.591,2.0222,0.0378,-0.1306,0.0098,-0.0122,-0.4602,CNMD,44.41,42.38833358333334,1237573470.0
2016-12-31,0.0448,-0.0278,-0.1457,-0.1429,-0.1429,0.0043,0.1227,0.2063,-0.0119,0.8407,0.1074,0.0188,0.0,0.0819,0.1325,0.049,-0.0278,0.0043,204094000.0,0.0685,97135000.0,106959000.0,7634000.0,86719000.0,94353000.0,12606000.0,3911000.0,8695000.0,1987000.0,0.0,0.0,6708000.0,0.0,6708000.0,0.24,0.24,27823701.0,27941000.0,0.2,0.5241,0.087,0.0618,0.033,0.0459,17843000.0,12606000.0,6708000.0,763520000.0,0.0617,355190000.0,408330000.0,32254000.0,338400000.0,373596000.0,34734000.0,15359000.0,19375000.0,4711000.0,0.0,0.0,14664000.0,0.0,14664000.0,0.53,0.52,27823701.0,0.8,0.5348,0.072,0.0455,0.019,0.0397,55213000.0,34734000.0,14664000.0,20.866,18.393,0.337,17.916,0.9858,0.8586,0.3751,3.2232,2.9,2.0413,0.833,0.6149,0.4249,0.0374,216560000.0,511770000.0,-417895000.0,868880000.0,141053500.0,38183500.0,134615000.0,-0.3153,0.0078,26.4004,-0.0212,-0.8243,0.025,0.011,0.0181,0.045,4.0,0.572,2.7197,19.9093,70.8679,64.952,5.413,19.9961,5.6719,1.509,49.0,0.4432,0.0422,886837000.0,581693250.0,1335331000.0,1.089,27.441,2.2615,0.0433,-0.2401,0.0106,-0.0125,-0.4676,CNMD,44.169998,44.580294000000016,1228972817.522598
2016-09-30,0.0819,-0.0668,-0.1731,-0.1875,-0.1875,0.0012,0.8121,0.2163,0.0074,0.9109,0.0681,0.167,0.0,1.7253,0.2557,0.0965,-0.0668,0.0042,184792000.0,0.0923,83583000.0,101209000.0,8353000.0,79009000.0,87362000.0,13847000.0,3861000.0,9986000.0,2649000.0,0.0,0.0,7337000.0,0.0,7337000.0,0.26,0.26,27818000.0,27721000.0,0.2,0.5477,0.104,0.0749,0.04,0.147,19148000.0,13847000.0,7337000.0,750443000.0,0.0377,346696000.0,403747000.0,31361000.0,334349000.0,368652000.0,35095000.0,13026000.0,22069000.0,6261000.0,0.0,0.0,15808000.0,0.0,15808000.0,0.56,0.56,27818000.0,0.8,0.538,0.073,0.0468,0.021,0.0394,55122000.0,35095000.0,15808000.0,21.0,18.266,0.977,17.9855,0.9687,0.8565,0.376,3.5864,3.273,3.3749,0.769,0.6182,0.4276,0.0452,256516000.0,508132000.0,-377173000.0,868645000.0,128943500.0,34146000.0,175041500.0,0.0973,0.0104,24.7218,0.013,0.4544,0.027,0.012,0.0183,0.047,4.0,0.587,2.4282,17.8521,64.7809,91.6961,5.8199,21.9775,4.2872,1.429,46.0,0.4455,0.0418,822483500.0,582817500.0,1278510250.0,1.064,26.977,2.6942,0.0416,-0.229,0.0111,-0.0117,-0.4389,CNMD,40.060001,40.06527813888888,1114389107.818
2016-06-30,0.0954,-0.3811,-0.6135,-0.6296,-0.6296,0.0052,0.7552,0.229,-0.0028,0.9966,0.0768,0.206,0.0,1.0089,0.0677,0.1787,-0.3811,0.0056,193433000.0,0.0685,91011000.0,102422000.0,8009000.0,86729000.0,94738000.0,7684000.0,3757000.0,3927000.0,1043000.0,0.0,0.0,2884000.0,0.0,2884000.0,0.1,0.1,27776000.0,27898000.0,0.2,0.5295,0.065,0.0397,0.015,0.0678,12639000.0,7684000.0,2884000.0,734835000.0,0.0081,338751000.0,396084000.0,29660000.0,327396000.0,359998000.0,36086000.0,10669000.0,25417000.0,8073000.0,0.0,0.0,17344000.0,0.0,17344000.0,0.62,0.62,27776000.0,0.8,0.539,0.076,0.0491,0.024,0.0169,55535000.0,36086000.0,17344000.0,20.872,18.423,0.472,18.6774,0.8387,0.8949,0.3875,2.0452,3.493,6.2358,2.0,0.6178,0.4484,0.0414,264779000.0,511720000.0,-388101000.0,900988000.0,134640000.0,29698500.0,164546500.0,-0.2712,0.0108,39.2032,-0.0252,-0.9845,0.03,0.014,0.0185,0.049,5.0,0.603,1.5733,15.9111,69.3507,89.3646,5.4578,24.7432,4.4658,1.29,51.0,0.4455,0.0404,757842500.0,581130000.0,1219341000.0,0.446,26.456,3.3823,0.0445,-0.5458,0.0111,-0.0203,-0.7657,CNMD,47.73,42.12805586111111,1325748480.0
2016-03-31,0.0591,-0.9455,-1.3588,-1.3478,-1.3478,0.0001,-2.1181,0.2345,0.0088,1.0186,0.0424,0.2837,0.0,-2.8001,0.2623,0.1492,-0.9455,0.0054,181201000.0,0.0183,83461000.0,97740000.0,8258000.0,85943000.0,97143000.0,597000.0,3830000.0,-3233000.0,-968000.0,0.0,0.0,-2265000.0,0.0,-2265000.0,-0.08,-0.08,27721000.0,27857000.0,0.2,0.5394,0.031,0.0033,-0.012,-0.1068,5583000.0,597000.0,-2265000.0,722429000.0,-0.0185,335269000.0,387160000.0,29152000.0,314248000.0,346342000.0,40818000.0,8401000.0,32417000.0,10496000.0,0.0,0.0,21921000.0,0.0,21921000.0,0.79,0.79,27721000.0,0.8,0.5359,0.083,0.0565,0.03,0.008,59875000.0,40818000.0,21921000.0,21.005,18.405,-0.698,18.8192,0.7177,0.8959,0.3885,0.1559,3.567,7.3104,-2.5,0.62,0.4743,0.0456,264776000.0,510200000.0,-392560000.0,908835000.0,131681000.0,28432000.0,164653500.0,0.1684,0.0137,89.8787,-0.0154,-0.5594,0.038,0.019,0.0207,0.057,4.0,0.624,0.8918,14.6671,67.9103,93.524,5.4862,25.409,4.3876,1.013,33.0,0.435,0.0404,683842000.0,580720250.0,1156979000.0,0.21,26.061,4.8587,0.056,-0.7027,0.0111,-0.019,-0.7208,CNMD,41.939999,39.50657148571429,1162618712.279
2015-12-31,-0.0159,-0.2412,-0.3075,-0.3171,-0.3171,-0.0005,-0.5244,0.0032,0.0,0.1217,0.0354,-0.0998,0.0,-0.6146,-0.0512,0.0354,-0.2412,0.0065,191017000.0,-0.0204,88641000.0,102376000.0,6741000.0,82668000.0,89409000.0,12967000.0,1578000.0,11389000.0,3537000.0,0.0,0.0,7852000.0,0.0,7852000.0,0.28,0.28,27704856.0,27820000.0,0.2,0.536,0.093,0.0679,0.041,0.0454,17752000.0,12967000.0,7852000.0,719168000.0,-0.0282,337466000.0,381702000.0,27436000.0,303091000.0,330527000.0,51175000.0,6031000.0,45144000.0,14646000.0,0.0,0.0,30498000.0,0.0,30498000.0,1.1,1.09,27704856.0,0.8,0.5308,0.097,0.0712,0.042,0.0499,69879000.0,51175000.0,30498000.0,21.118,19.234,0.313,9.7748,2.617,0.4629,0.2458,8.2174,3.005,1.5534,0.714,0.5163,0.4328,0.0353,240086000.0,532878000.0,-156823000.0,611466000.0,131575000.0,29236000.0,140755000.0,-0.2895,0.0095,11.1709,-0.0185,-0.7379,0.053,0.028,0.0351,0.071,3.0,0.658,1.6695,17.6215,67.9396,67.6848,5.4658,24.5987,5.1094,0.727,28.0,0.4214,0.0381,605988500.0,578670500.0,1093219750.0,1.296,25.958,8.4853,0.0834,-0.2948,0.0103,-0.0209,-0.8024,CNMD,44.049999,42.21428574285715,1220398879.095144
