,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,weighted_average_shares_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2018-05-05,0.0458,-0.0919,0.1364,0.1795,0.1538,-0.1547,7.413,-0.0284,0.1003,-0.1306,0.0,-0.0664,-1.0,2.4941,0.0,0.0371,0.1351,-0.0239,4208000000.0,0.0352,2496000000.0,1712000000.0,0.0,1259000000.0,1502000000.0,210000000.0,71000000.0,97000000.0,22000000.0,0.0,0.0,75000000.0,0.0,75000000.0,0.46,0.45,168236899.0,235000000.0,0.0,0.4068,0.098,0.0399,0.018,0.0604,411000000.0,168000000.0,75000000.0,19460000000.0,0.0363,12227000000.0,7233000000.0,0.0,4796000000.0,5792000000.0,1441000000.0,294000000.0,1105000000.0,237000000.0,0.0,0.0,868000000.0,0.0,868000000.0,5.21,5.19,168236899.0,1.65,0.3717,0.123,0.0719,0.045,0.0735,2395000000.0,1399000000.0,868000000.0,31.836,76.773,1.51,23.6987,4.886,0.7444,0.3087,2.3662,1.761,5.16,0.0,0.0,0.2992,0.0,2153000000.0,12916000000.0,-2577000000.0,13251000000.0,0.0,1467000000.0,3858500000.0,-0.3437,0.0071,7.7007,-0.0316,-0.5473,0.167,0.065,0.0959,0.072,9.0,1.462,2.341,27.2718,0.0,69.8864,0.0,13.2652,5.0434,0.317,10.0,0.2465,0.0,13945500000.0,5208000000.0,13310750000.0,8.5,115.67,4.7585,0.0881,-0.2963,0.0039,-0.0309,-0.6044,KSS,63.099998,62.652000199999996,10615747990.426203
2018-02-03,0.1061,0.1962,0.8498,0.9514,0.958,-0.1759,-0.053,-0.0136,0.0995,-0.021,0.0,-0.0667,0.1,-0.0174,0.0,0.072,0.1962,-0.048,6776000000.0,0.092,4483000000.0,2293000000.0,0.0,1459000000.0,1726000000.0,567000000.0,74000000.0,493000000.0,25000000.0,0.0,0.0,468000000.0,0.0,468000000.0,2.81,2.8,168004787.0,239000000.0,0.55,0.3384,0.123,0.0837,0.069,0.1002,834000000.0,567000000.0,468000000.0,19095000000.0,0.0219,12176000000.0,6919000000.0,0.0,4512000000.0,5503000000.0,1416000000.0,299000000.0,1117000000.0,258000000.0,0.0,0.0,859000000.0,0.0,859000000.0,5.14,5.12,168004787.0,2.2,0.3623,0.126,0.0742,0.045,0.0534,2407000000.0,1416000000.0,859000000.0,32.255,79.694,4.042,26.8683,7.7855,0.833,0.3371,7.6622,1.986,1.7564,0.196,0.0,0.2153,0.0,2671000000.0,13389000000.0,-2590000000.0,13886000000.0,0.0,1389000000.0,3668500000.0,-0.174,0.0031,3.8441,-0.0211,-0.5356,0.168,0.064,0.0932,0.074,9.0,1.424,1.9686,24.2951,0.0,67.7052,0.0,13.7473,5.2051,0.428,10.0,0.2363,0.0,14222000000.0,5115750000.0,13405250000.0,6.065,113.657,4.7358,0.0822,-0.3974,0.0029,-0.0352,-0.6781,KSS,63.470001,60.152423727272726,10663263998.894787
2017-10-28,-0.0075,-0.1462,-0.1986,-0.1566,-0.1566,-0.2045,0.1256,-0.0125,0.0491,-0.0162,0.0,-0.0189,0.1,0.8168,0.0,0.0139,-0.1462,-0.0613,4332000000.0,0.0012,2737000000.0,1595000000.0,0.0,1095000000.0,1338000000.0,257000000.0,74000000.0,183000000.0,66000000.0,0.0,0.0,117000000.0,0.0,117000000.0,0.7,0.7,168579864.0,245000000.0,0.55,0.3682,0.115,0.0593,0.027,0.0801,499000000.0,257000000.0,117000000.0,18746000000.0,-0.0065,11808000000.0,6938000000.0,0.0,4653000000.0,5615000000.0,1323000000.0,300000000.0,1023000000.0,379000000.0,0.0,0.0,644000000.0,0.0,644000000.0,3.77,3.76,168579864.0,2.15,0.3701,0.122,0.0706,0.034,0.0543,2285000000.0,1323000000.0,644000000.0,29.832,82.454,2.058,26.9842,4.3659,0.9046,0.3273,3.473,1.626,4.2137,0.786,0.0,0.2528,0.0,2195000000.0,13900000000.0,-3171000000.0,14208000000.0,0.0,2105000000.0,4676500000.0,-0.2961,0.003,7.6413,-0.0337,-0.6033,0.127,0.048,0.0845,0.071,9.0,1.394,2.6972,41.1418,0.0,90.1888,0.0,8.9055,4.0086,0.57,8.0,0.2482,0.0,14284750000.0,5055250000.0,13451500000.0,6.039,111.2,4.41,0.0633,-0.4139,0.0023,-0.0384,-0.7474,KSS,42.580002,44.196666694444446,7178130946.279728
2017-07-29,-0.0103,0.3477,0.4857,0.6104,0.6104,-0.1396,-0.5326,-0.0241,0.039,-0.0136,0.0,-0.0191,0.1,-0.7238,0.0,-0.003,0.3477,-0.072,4144000000.0,-0.0091,2511000000.0,1633000000.0,0.0,983000000.0,1226000000.0,407000000.0,75000000.0,332000000.0,124000000.0,0.0,0.0,208000000.0,0.0,208000000.0,1.24,1.24,170481383.0,265000000.0,0.55,0.3941,0.157,0.0982,0.05,0.0362,651000000.0,407000000.0,208000000.0,18741000000.0,-0.012,11791000000.0,6950000000.0,0.0,4638000000.0,5583000000.0,1367000000.0,302000000.0,1065000000.0,392000000.0,0.0,0.0,673000000.0,0.0,673000000.0,3.9,3.89,170481383.0,2.1,0.3708,0.124,0.0729,0.036,0.046,2319000000.0,1367000000.0,673000000.0,29.493,76.478,0.88,26.783,3.2379,0.9081,0.3502,5.4267,1.813,1.5865,0.444,0.0,0.2372,0.0,2125000000.0,13038000000.0,-3270000000.0,14437000000.0,0.0,1372500000.0,3890500000.0,-0.5455,0.0027,6.1659,-0.0434,-0.7377,0.133,0.05,0.0854,0.073,8.0,1.389,2.4993,26.6821,0.0,75.0411,0.0,13.6546,4.8171,0.538,8.0,0.2475,0.0,14377000000.0,5074750000.0,13495500000.0,5.056,109.93,4.5265,0.066,-0.4875,0.0021,-0.0438,-0.8613,KSS,41.240002000000004,38.44971442857142,7030652575.882767
2017-04-29,0.1593,0.7453,2.8824,3.3333,3.3333,-0.1003,-0.6714,-0.0008,0.0115,-0.0222,0.0,-0.0228,0.1,-4.0,0.0,0.2044,0.7453,-0.0692,4065000000.0,0.0234,2428000000.0,1637000000.0,0.0,1214000000.0,1452000000.0,185000000.0,76000000.0,109000000.0,43000000.0,0.0,0.0,66000000.0,0.0,66000000.0,0.39,0.39,172356294.0,278000000.0,0.55,0.4027,0.104,0.0455,0.016,-0.0418,423000000.0,185000000.0,66000000.0,18779000000.0,-0.0144,11812000000.0,6967000000.0,0.0,4641000000.0,5705000000.0,1262000000.0,305000000.0,957000000.0,352000000.0,0.0,0.0,605000000.0,0.0,605000000.0,3.43,3.42,172356294.0,2.05,0.371,0.117,0.0672,0.032,0.0668,2204000000.0,1262000000.0,605000000.0,28.934,77.131,-0.986,26.6077,3.6262,0.9196,0.345,2.4342,1.723,0.697,1.41,0.0,0.2986,0.0,2096000000.0,13294000000.0,-3313000000.0,14357000000.0,0.0,1413000000.0,4037500000.0,-4.6957,0.0025,9.3641,-0.0531,-0.9076,0.118,0.045,0.0796,0.067,8.0,1.383,3.4017,28.7662,0.0,77.5715,0.0,13.2902,4.6511,0.598,8.0,0.2471,0.0,14389250000.0,5121500000.0,13576000000.0,7.281,108.955,4.1377,0.0595,-0.3902,0.002,-0.0428,-0.8524,KSS,39.029999,39.26228594285714,6727065982.463705
2017-01-28,-0.0185,-0.1238,-0.1453,-0.071,-0.0714,-0.0584,-0.1865,-0.0024,0.0141,-0.0206,0.0,-0.0602,0.1111,-0.2554,0.0,0.0218,-0.1238,-0.0703,6205000000.0,-0.0285,4132000000.0,2073000000.0,0.0,1361000000.0,1599000000.0,474000000.0,75000000.0,399000000.0,146000000.0,0.0,0.0,253000000.0,0.0,253000000.0,1.44,1.43,176472956.0,290000000.0,0.5,0.3341,0.115,0.0764,0.041,0.1114,712000000.0,474000000.0,253000000.0,18686000000.0,-0.027,11944000000.0,6742000000.0,0.0,4435000000.0,5559000000.0,1183000000.0,308000000.0,875000000.0,319000000.0,0.0,0.0,556000000.0,0.0,556000000.0,3.12,3.11,176472956.0,2.0,0.3608,0.114,0.0633,0.03,0.0739,2121000000.0,1183000000.0,556000000.0,29.336,76.918,3.916,26.1286,6.0859,0.8907,0.3397,6.32,1.764,3.4308,0.347,0.0,0.2193,0.0,2273000000.0,13574000000.0,-3150000000.0,14137000000.0,0.0,1379000000.0,3916500000.0,-0.2039,0.0015,4.9677,-0.0285,-0.7437,0.107,0.041,0.0766,0.063,6.0,1.376,3.8633,29.4367,0.0,74.129,0.0,13.5504,4.7711,0.641,9.0,0.2373,0.0,14531000000.0,5199000000.0,13578500000.0,7.82,105.886,3.8409,0.0536,-0.3575,0.0019,-0.0411,-0.8188,KSS,39.0,46.70212124242425,6882445284.0
2016-10-29,-0.0219,0.1148,0.2167,0.3175,0.3175,0.0065,7.1111,-0.0485,0.0104,-0.0995,0.0,-0.1014,0.1111,2.5917,0.0,-0.0173,-0.0227,-0.0766,4327000000.0,-0.0226,2720000000.0,1607000000.0,0.0,1080000000.0,1306000000.0,301000000.0,76000000.0,225000000.0,79000000.0,0.0,0.0,146000000.0,0.0,146000000.0,0.83,0.83,179593056.0,308000000.0,0.5,0.3714,0.123,0.0696,0.034,0.0441,533000000.0,301000000.0,146000000.0,18868000000.0,-0.0149,12087000000.0,6781000000.0,0.0,4406000000.0,5531000000.0,1250000000.0,312000000.0,938000000.0,339000000.0,0.0,0.0,599000000.0,0.0,599000000.0,3.24,3.23,179593056.0,1.95,0.3594,0.116,0.0662,0.032,0.0863,2189000000.0,1250000000.0,599000000.0,28.437,78.377,1.064,25.7471,3.3242,0.9054,0.3285,3.9605,1.604,3.0,0.602,0.0,0.2496,0.0,2128000000.0,14076000000.0,-3315000000.0,14577000000.0,0.0,2119000000.0,4987500000.0,-0.5639,0.0021,7.5553,-0.0571,-1.0647,0.114,0.044,0.0775,0.066,7.0,1.389,3.9249,40.5663,0.0,91.3274,0.0,8.9042,3.7831,0.602,9.0,0.2335,0.0,14720000000.0,5277500000.0,13586500000.0,9.065,105.06,4.0064,0.058,-0.3075,0.0023,-0.0383,-0.77,KSS,44.119999,43.81944438888888,7923645451.126944
2016-07-30,-0.0072,0.0307,0.0769,0.1667,0.1667,0.0065,1.8127,-0.0629,-0.0106,-0.0826,0.0,-0.0762,0.1111,9.86,0.0,-0.0189,-0.2877,-0.0716,4182000000.0,-0.0199,2532000000.0,1650000000.0,0.0,986000000.0,1348000000.0,302000000.0,78000000.0,224000000.0,84000000.0,0.0,0.0,140000000.0,0.0,140000000.0,0.77,0.77,183709242.0,308000000.0,0.5,0.3945,0.128,0.0722,0.033,0.1298,536000000.0,302000000.0,140000000.0,18968000000.0,-0.007,12151000000.0,6817000000.0,0.0,4425000000.0,5560000000.0,1257000000.0,317000000.0,902000000.0,329000000.0,0.0,0.0,573000000.0,0.0,573000000.0,3.04,3.03,183709242.0,1.9,0.3594,0.114,0.0643,0.03,0.0694,2162000000.0,1219000000.0,573000000.0,28.387,72.724,2.956,25.1974,3.8104,0.8876,0.3465,3.8718,1.768,5.0429,0.649,0.0,0.2358,0.0,2152000000.0,13360000000.0,-3190000000.0,14486000000.0,0.0,1470500000.0,4090000000.0,-0.2309,0.0024,7.3302,-0.039,-0.6966,0.107,0.042,0.0787,0.064,7.0,1.378,3.4328,26.459,0.0,75.5863,0.0,12.899,4.6377,0.625,10.0,0.2333,0.0,14948000000.0,5369250000.0,13766000000.0,7.169,103.25,3.8454,0.0554,-0.3305,0.0024,-0.0343,-0.6893,KSS,41.59,38.08571428571429,7640467374.780001
2016-04-30,-0.0729,-0.6214,-0.8661,-0.8594,-0.8571,0.0131,0.3725,-0.0795,-0.0358,-0.0091,0.0,-0.0194,0.1111,0.5405,0.0,-0.0079,-0.6214,-0.0869,3972000000.0,-0.0366,2560000000.0,1412000000.0,0.0,1008000000.0,1306000000.0,106000000.0,79000000.0,27000000.0,10000000.0,0.0,0.0,17000000.0,0.0,17000000.0,0.09,0.09,185168909.0,309000000.0,0.5,0.3555,0.086,0.0267,0.004,-0.0086,340000000.0,106000000.0,17000000.0,19053000000.0,-0.0012,12224000000.0,6829000000.0,0.0,4444000000.0,5450000000.0,1379000000.0,323000000.0,887000000.0,324000000.0,0.0,0.0,563000000.0,0.0,563000000.0,2.93,2.92,185168909.0,1.85,0.3584,0.113,0.0635,0.03,0.0432,2151000000.0,1210000000.0,563000000.0,28.606,71.848,-0.184,25.3282,2.2844,0.8854,0.3525,1.3418,1.834,8.2353,5.556,0.0,0.2538,0.0,2208000000.0,13304000000.0,-3152000000.0,14924000000.0,0.0,1495500000.0,4124500000.0,-1.2429,0.003,12.55,-0.0438,-0.7436,0.103,0.04,0.0832,0.064,5.0,1.362,2.6856,25.7854,0.0,78.2375,0.0,12.7402,4.6195,0.631,10.0,0.2332,0.0,15124000000.0,5484750000.0,13990000000.0,4.45,102.895,3.7461,0.0539,-0.455,0.0024,-0.0361,-0.7311,KSS,44.299999,45.691142714285704,8202982483.531091
2016-01-30,-0.0163,-0.1728,-0.1978,-0.1576,-0.1492,0.0033,-0.0247,-0.0507,-0.0246,-0.0084,0.0,0.0587,0.1538,-0.0462,0.0,0.0472,-0.1728,-0.0603,6387000000.0,0.0079,4275000000.0,2112000000.0,0.0,1332000000.0,1571000000.0,541000000.0,79000000.0,462000000.0,166000000.0,0.0,0.0,296000000.0,0.0,296000000.0,1.55,1.54,189820241.0,308000000.0,0.45,0.3307,0.122,0.0847,0.046,0.1453,780000000.0,541000000.0,296000000.0,19204000000.0,0.0095,12265000000.0,6939000000.0,0.0,4452000000.0,5386000000.0,1553000000.0,327000000.0,1057000000.0,384000000.0,0.0,0.0,673000000.0,0.0,673000000.0,3.48,3.46,189820241.0,1.8,0.3613,0.121,0.0721,0.035,0.0408,2318000000.0,1384000000.0,673000000.0,28.927,71.678,4.889,24.8024,3.7246,0.8574,0.346,6.8481,1.87,3.6047,0.29,0.0,0.2085,0.0,2362000000.0,13606000000.0,-3039000000.0,14893000000.0,0.0,1381000000.0,3926000000.0,-0.1303,0.0019,5.1295,-0.0218,-0.5816,0.119,0.047,0.0941,0.072,5.0,1.345,2.1902,23.7771,0.0,76.7481,0.0,13.9059,4.8915,0.517,10.0,0.2318,0.0,15144500000.0,5664750000.0,14277250000.0,4.13,101.169,4.2324,0.0631,-0.4681,0.002,-0.0359,-0.7388,KSS,49.75,47.84121263636363,9443556989.75
2015-10-31,0.0092,-0.1118,-0.1549,-0.1,-0.1,-0.0097,-0.73,-0.0147,-0.0077,0.0756,0.0,0.0565,0.1538,-10.2308,0.0,0.0018,0.0132,-0.0497,4427000000.0,0.0121,2784000000.0,1643000000.0,0.0,1099000000.0,1335000000.0,308000000.0,81000000.0,189000000.0,69000000.0,0.0,0.0,120000000.0,0.0,120000000.0,0.63,0.63,194497789.0,306000000.0,0.45,0.3711,0.114,0.061,0.027,-0.0271,506000000.0,270000000.0,120000000.0,19154000000.0,0.0196,12179000000.0,6975000000.0,0.0,4392000000.0,5309000000.0,1666000000.0,334000000.0,1163000000.0,417000000.0,0.0,0.0,746000000.0,0.0,746000000.0,3.77,3.73,194497789.0,1.74,0.3642,0.126,0.0782,0.039,0.0433,2413000000.0,1497000000.0,746000000.0,28.144,76.063,-0.617,26.4013,2.5759,0.9381,0.3471,3.3333,1.54,0.45,0.714,0.0,0.2482,0.0,2128000000.0,14794000000.0,-3253000000.0,15489000000.0,0.0,2262500000.0,5113500000.0,-3.2222,0.0027,9.1581,-0.0393,-0.7373,0.129,0.052,0.0957,0.078,5.0,1.325,2.0121,40.799,0.0,100.1206,0.0,8.4659,3.7458,0.462,9.0,0.2293,0.0,15125000000.0,5789750000.0,14459000000.0,4.262,98.479,4.482,0.0702,-0.4477,0.0018,-0.0351,-0.7336,KSS,46.119999,46.97777822222223,8970237834.18221
2015-08-01,0.0048,-0.3503,-0.4397,-0.4211,-0.4159,-0.0395,-0.5445,0.0134,0.0239,0.0559,0.0,0.0905,0.1538,-0.8584,0.0,0.0245,-0.0599,-0.0455,4267000000.0,0.0059,2605000000.0,1662000000.0,0.0,1005000000.0,1238000000.0,424000000.0,84000000.0,209000000.0,79000000.0,0.0,0.0,130000000.0,0.0,130000000.0,0.66,0.66,197876457.0,306000000.0,0.45,0.3895,0.123,0.0687,0.03,0.0117,525000000.0,293000000.0,130000000.0,19101000000.0,0.013,12141000000.0,6960000000.0,0.0,4390000000.0,5298000000.0,1662000000.0,338000000.0,1193000000.0,425000000.0,0.0,0.0,768000000.0,0.0,768000000.0,3.84,3.8,197876457.0,1.68,0.3644,0.128,0.0802,0.04,0.0504,2438000000.0,1531000000.0,768000000.0,28.69,72.045,0.253,25.5008,4.7201,0.8888,0.354,3.4881,1.729,1.9308,0.682,0.0,0.2355,0.0,2318000000.0,14256000000.0,-3083000000.0,15190000000.0,0.0,1522500000.0,4075500000.0,-0.8008,0.0021,7.8324,-0.0471,-0.8664,0.131,0.053,0.0982,0.08,5.0,1.316,2.1445,29.9246,0.0,81.2512,0.0,12.5458,4.6868,0.438,10.0,0.2298,0.0,15122250000.0,5872500000.0,14514000000.0,4.862,96.53,4.5296,0.0708,-0.4159,0.0019,-0.0359,-0.7552,KSS,61.32,62.936857,12133784343.24
2015-05-02,0.018,0.0,0.016,0.0667,0.05,-0.0563,-0.4302,0.024,0.0565,-0.0187,0.0,0.0462,0.1538,-25.6667,0.0,0.016,0.0,-0.0276,4123000000.0,0.013,2600000000.0,1523000000.0,0.0,1016000000.0,1243000000.0,280000000.0,84000000.0,196000000.0,69000000.0,0.0,0.0,127000000.0,0.0,127000000.0,0.64,0.63,202802328.0,305000000.0,0.45,0.3694,0.123,0.0679,0.031,-0.0179,507000000.0,280000000.0,127000000.0,19076000000.0,0.0092,12124000000.0,6952000000.0,0.0,4366000000.0,5263000000.0,1689000000.0,339000000.0,1350000000.0,480000000.0,0.0,0.0,870000000.0,0.0,870000000.0,4.32,4.27,202802328.0,1.62,0.3644,0.136,0.0885,0.046,0.0663,2586000000.0,1689000000.0,870000000.0,29.669,71.266,-0.365,23.338,5.8924,0.7866,0.3275,3.3333,1.909,0.8031,0.703,0.0,0.2464,0.0,2713000000.0,14453000000.0,-2738000000.0,15006000000.0,0.0,1513500000.0,4073000000.0,-1.7255,0.0012,6.9783,-0.0427,-0.7753,0.147,0.06,0.1016,0.089,6.0,1.319,2.2379,31.4754,0.0,79.6931,0.0,12.6039,4.6835,0.375,11.0,0.2289,0.0,15173000000.0,5905500000.0,14466750000.0,6.238,94.062,4.9823,0.0775,-0.3503,0.0021,-0.0358,-0.7603,KSS,73.089996,75.66771419999998,14822821342.310688
2015-01-31,0.0347,0.0739,0.1048,0.1871,0.1753,,0.2575,-0.0017,0.0624,-0.0232,0.0,-0.0155,0.1143,0.4061,0.0,0.0242,0.0739,-0.0566,6337000000.0,0.039,4190000000.0,2147000000.0,0.0,1272000000.0,1493000000.0,654000000.0,85000000.0,569000000.0,200000000.0,0.0,0.0,369000000.0,0.0,369000000.0,1.84,1.81,202009115.0,,0.39,0.3388,0.138,0.1032,0.058,0.1535,875000000.0,654000000.0,369000000.0,19023000000.0,-0.0004,12098000000.0,6925000000.0,0.0,4350000000.0,5236000000.0,1689000000.0,340000000.0,1349000000.0,482000000.0,0.0,0.0,867000000.0,0.0,867000000.0,4.28,4.24,202009115.0,1.56,0.364,0.135,0.0888,0.046,0.0705,2575000000.0,1689000000.0,867000000.0,29.657,70.952,4.817,23.5039,6.965,0.7925,0.3313,7.6941,1.952,2.9648,0.212,0.0,0.2007,0.0,2721000000.0,14333000000.0,-2762000000.0,14815000000.0,0.0,1438000000.0,3844000000.0,-0.1106,0.0014,3.8183,-0.0191,-0.5475,0.148,0.06,0.1037,0.089,7.0,1.323,2.3345,28.992,0.0,73.1804,0.0,13.2288,4.9488,0.364,10.0,0.2287,0.0,15315250000.0,5865500000.0,14382000000.0,6.643,94.169,4.9676,0.0772,-0.337,0.0024,-0.0359,-0.7698,KSS,59.720001,59.866363818181824,12063984549.809116
2014-11-01,-0.0228,-0.1671,-0.1977,-0.1463,-0.1358,,-0.2063,-0.0152,0.0399,-0.0223,0.0,0.0028,0.1143,-0.8169,0.0,0.0224,-0.1671,-0.0576,4374000000.0,-0.0158,2746000000.0,1628000000.0,0.0,1097000000.0,1324000000.0,304000000.0,85000000.0,219000000.0,77000000.0,0.0,0.0,142000000.0,0.0,142000000.0,0.7,0.7,204668449.0,,0.39,0.3722,0.121,0.0695,0.032,0.003,531000000.0,304000000.0,142000000.0,18785000000.0,-0.0254,11932000000.0,6853000000.0,0.0,4320000000.0,5209000000.0,1644000000.0,342000000.0,1302000000.0,469000000.0,0.0,0.0,833000000.0,0.0,833000000.0,3.99,3.97,204668449.0,1.52,0.3648,0.135,0.0875,0.044,0.0565,2533000000.0,1644000000.0,833000000.0,28.363,73.358,0.064,23.3255,3.083,0.8224,0.318,3.5765,1.658,1.4085,0.557,0.0,0.2508,0.0,2421000000.0,15014000000.0,-3109000000.0,15478000000.0,0.0,2322500000.0,4966000000.0,-0.935,0.0032,7.8023,-0.0428,-0.8238,0.142,0.058,0.095,0.088,7.0,1.306,2.1609,46.3221,0.0,96.6274,0.0,8.0883,3.7827,0.381,9.0,0.23,0.0,15483750000.0,5862250000.0,14388000000.0,5.184,91.783,4.807,0.0751,-0.4106,0.0027,-0.0393,-0.8313,KSS,54.220001,58.98166663888888,11097123509.44845
2014-08-02,-0.0131,0.0,0.0043,0.0857,0.0865,,0.2057,-0.0021,0.0252,0.0419,0.0,0.0112,0.1143,0.1461,0.0,-0.019,0.0,-0.0639,4242000000.0,-0.011,2588000000.0,1654000000.0,0.0,981000000.0,1203000000.0,451000000.0,85000000.0,366000000.0,134000000.0,0.0,0.0,232000000.0,0.0,232000000.0,1.14,1.13,207309047.0,,0.39,0.3899,0.159,0.1063,0.055,0.0832,673000000.0,451000000.0,232000000.0,18855000000.0,-0.0241,11964000000.0,6891000000.0,0.0,4296000000.0,5186000000.0,1705000000.0,341000000.0,1364000000.0,496000000.0,0.0,0.0,868000000.0,0.0,868000000.0,4.11,4.08,207309047.0,1.48,0.3655,0.138,0.0904,0.046,0.0593,2593000000.0,1705000000.0,868000000.0,28.021,67.855,1.703,23.0525,3.5985,0.8227,0.3397,5.3059,1.884,2.375,0.342,0.0,0.2313,0.0,2393000000.0,14067000000.0,-3158000000.0,15393000000.0,0.0,1437500000.0,3877500000.0,-0.3593,0.0031,5.9926,-0.0467,-0.8919,0.147,0.06,0.0994,0.09,6.0,1.305,2.1336,28.6309,0.0,75.4779,0.0,13.1165,4.8627,0.36,9.0,0.2278,0.0,15586500000.0,5892000000.0,14445750000.0,5.398,90.951,5.0,0.0783,-0.3958,0.0026,-0.0389,-0.8255,KSS,53.560001,52.49971454285715,11103472764.629047
2014-05-03,-0.0209,-0.1167,-0.1497,-0.0909,-0.0909,,-0.4131,0.0046,0.0355,0.063,0.0,0.005,0.1143,-0.9824,0.0,0.003,-0.1167,-0.0606,4070000000.0,-0.0307,2574000000.0,1496000000.0,0.0,1000000000.0,1216000000.0,280000000.0,85000000.0,195000000.0,70000000.0,0.0,0.0,125000000.0,0.0,125000000.0,0.6,0.6,208557520.0,,0.39,0.3676,0.122,0.0688,0.031,0.0007,496000000.0,280000000.0,125000000.0,18902000000.0,-0.0174,11989000000.0,6913000000.0,0.0,4315000000.0,5208000000.0,1705000000.0,340000000.0,1365000000.0,498000000.0,0.0,0.0,867000000.0,0.0,867000000.0,4.02,3.99,208557520.0,1.44,0.3657,0.137,0.0902,0.046,0.0568,2596000000.0,1705000000.0,867000000.0,28.083,67.674,0.014,23.1255,3.4379,0.8235,0.3417,3.2941,1.943,1.432,0.65,0.0,0.2457,0.0,2494000000.0,14114000000.0,-3118000000.0,15575000000.0,0.0,1417000000.0,3971000000.0,-0.9832,0.0022,8.2782,-0.0432,-0.8148,0.146,0.06,0.0981,0.09,6.0,1.308,2.0277,26.6866,0.0,76.8736,0.0,13.3394,4.76,0.358,9.0,0.2283,0.0,15590500000.0,5953000000.0,14453250000.0,5.15,90.632,5.0147,0.0776,-0.3891,0.0028,-0.0362,-0.7677,KSS,55.720001,55.49942834285714,11620825222.957521
